,0,1,2,3
387,-0.001,-0.005,-0.005,-0.003
388,0,-0.004,-0.005,-0.002
389,0.001,-0.003,-0.003,0
390,0.002,-0.002,-0.002,0.001
391,0.001,-0.003,-0.003,-0.001
392,0.001,-0.004,-0.003,-0.002
393,0.001,-0.003,-0.003,-0.002
394,0,-0.004,-0.004,-0.001
395,-0.002,-0.004,-0.005,-0.003
396,-0.002,-0.005,-0.006,-0.003
397,-0.002,-0.005,-0.005,-0.003
398,-0.003,-0.005,-0.006,-0.004
399,-0.003,-0.006,-0.006,-0.004
400,-0.002,-0.005,-0.004,-0.003
401,0,-0.003,-0.002,-0.001
402,0.001,-0.001,-0.001,0.001
403,0.001,-0.001,-0.003,0
404,0,-0.002,-0.005,-0.001
405,-0.001,-0.004,-0.006,-0.003
406,-0.001,-0.004,-0.005,-0.002
407,0.001,-0.003,-0.003,-0.001
408,0.002,-0.003,-0.003,0
409,0.001,-0.004,-0.004,-0.001
410,0.001,-0.003,-0.003,0
411,0.002,-0.002,-0.002,0.001
412,0.001,-0.001,-0.003,0
413,0,-0.003,-0.004,0
414,0.001,-0.002,-0.002,0.001
415,0.002,0,0,0.002
416,0.002,-0.001,0,0.001
417,-0.001,-0.004,-0.003,-0.002
418,-0.003,-0.007,-0.006,-0.004
419,-0.003,-0.006,-0.005,-0.004
420,-0.002,-0.004,-0.004,-0.002
421,-0.001,-0.003,-0.003,-0.002
422,-0.001,-0.003,-0.003,-0.003
423,-0.003,-0.004,-0.004,-0.004
424,-0.002,-0.004,-0.004,-0.005
425,-0.002,-0.005,-0.005,-0.004
426,-0.002,-0.006,-0.006,-0.005
427,-0.003,-0.006,-0.007,-0.005
428,-0.004,-0.006,-0.007,-0.006
429,-0.002,-0.004,-0.006,-0.004
430,0,-0.003,-0.004,-0.001
431,0.002,-0.001,-0.002,0.001
432,0.001,-0.002,-0.003,0
433,0,-0.004,-0.004,-0.001
434,-0.001,-0.004,-0.004,-0.002
435,-0.001,-0.004,-0.004,-0.002
436,-0.002,-0.005,-0.005,-0.002
437,-0.002,-0.005,-0.005,-0.002
438,-0.003,-0.005,-0.005,-0.002
439,-0.002,-0.005,-0.005,-0.002
440,-0.002,-0.005,-0.005,-0.002
441,-0.003,-0.006,-0.008,-0.004
442,-0.004,-0.007,-0.01,-0.005
443,-0.005,-0.007,-0.01,-0.006
444,-0.003,-0.005,-0.007,-0.004
445,-0.002,-0.005,-0.005,-0.003
446,-0.004,-0.006,-0.006,-0.005
447,-0.005,-0.007,-0.007,-0.006
448,-0.003,-0.005,-0.005,-0.004
449,0,-0.002,-0.002,-0.001
450,0.001,-0.002,-0.003,-0.001
451,-0.002,-0.004,-0.005,-0.002
452,-0.003,-0.004,-0.005,-0.002
453,-0.003,-0.003,-0.005,-0.002
454,-0.002,-0.003,-0.005,-0.002
455,-0.003,-0.005,-0.006,-0.004
456,-0.005,-0.007,-0.008,-0.007
457,-0.005,-0.008,-0.009,-0.008
458,-0.006,-0.008,-0.009,-0.007
459,-0.006,-0.009,-0.008,-0.005
460,-0.007,-0.009,-0.007,-0.005
461,-0.008,-0.01,-0.008,-0.006
462,-0.008,-0.01,-0.008,-0.007
463,-0.009,-0.011,-0.01,-0.009
464,-0.007,-0.009,-0.009,-0.007
465,-0.005,-0.006,-0.007,-0.004
466,-0.002,-0.004,-0.007,-0.002
467,-0.003,-0.006,-0.009,-0.004
468,-0.006,-0.008,-0.011,-0.007
469,-0.009,-0.01,-0.011,-0.009
470,-0.007,-0.008,-0.01,-0.008
471,-0.004,-0.006,-0.009,-0.006
472,-0.003,-0.005,-0.007,-0.004
473,-0.004,-0.007,-0.006,-0.004
474,-0.004,-0.007,-0.006,-0.004
475,-0.003,-0.006,-0.006,-0.005
476,-0.005,-0.007,-0.008,-0.007
477,-0.007,-0.008,-0.01,-0.008
478,-0.008,-0.009,-0.01,-0.008
479,-0.006,-0.007,-0.008,-0.006
480,-0.006,-0.007,-0.008,-0.007
481,-0.008,-0.01,-0.011,-0.01
482,-0.009,-0.012,-0.012,-0.01
483,-0.007,-0.011,-0.01,-0.009
484,-0.006,-0.008,-0.008,-0.008
485,-0.006,-0.007,-0.008,-0.008
486,-0.007,-0.008,-0.009,-0.008
487,-0.008,-0.009,-0.01,-0.009
488,-0.011,-0.013,-0.014,-0.012
489,-0.011,-0.013,-0.015,-0.013
490,-0.011,-0.013,-0.015,-0.013
491,-0.01,-0.012,-0.013,-0.012
492,-0.012,-0.014,-0.014,-0.013
493,-0.014,-0.015,-0.016,-0.016
494,-0.013,-0.014,-0.016,-0.015
495,-0.011,-0.011,-0.014,-0.013
496,-0.008,-0.008,-0.01,-0.01
497,-0.009,-0.009,-0.01,-0.008
498,-0.011,-0.01,-0.012,-0.01
499,-0.012,-0.013,-0.014,-0.013
500,-0.014,-0.015,-0.017,-0.016
501,-0.013,-0.013,-0.016,-0.015
502,-0.011,-0.012,-0.014,-0.013
503,-0.01,-0.01,-0.012,-0.012
504,-0.011,-0.01,-0.012,-0.014
505,-0.011,-0.01,-0.013,-0.014
506,-0.011,-0.01,-0.012,-0.013
507,-0.011,-0.011,-0.012,-0.012
508,-0.01,-0.011,-0.012,-0.012
509,-0.011,-0.012,-0.013,-0.014
510,-0.013,-0.014,-0.015,-0.016
511,-0.016,-0.016,-0.018,-0.019
512,-0.018,-0.017,-0.019,-0.02
513,-0.017,-0.017,-0.018,-0.02
514,-0.017,-0.017,-0.019,-0.02
515,-0.019,-0.02,-0.024,-0.021
516,-0.019,-0.021,-0.025,-0.022
517,-0.016,-0.017,-0.021,-0.019
518,-0.013,-0.013,-0.017,-0.014
519,-0.013,-0.011,-0.015,-0.014
520,-0.015,-0.015,-0.017,-0.017
521,-0.017,-0.017,-0.02,-0.02
522,-0.018,-0.019,-0.022,-0.021
523,-0.02,-0.021,-0.025,-0.023
524,-0.02,-0.021,-0.024,-0.022
525,-0.018,-0.018,-0.021,-0.02
526,-0.015,-0.015,-0.017,-0.018
527,-0.014,-0.014,-0.015,-0.018
528,-0.015,-0.015,-0.016,-0.018
529,-0.018,-0.018,-0.02,-0.022
530,-0.023,-0.021,-0.025,-0.025
531,-0.025,-0.023,-0.027,-0.027
532,-0.023,-0.021,-0.024,-0.024
533,-0.019,-0.018,-0.02,-0.019
534,-0.019,-0.018,-0.02,-0.019
535,-0.02,-0.019,-0.022,-0.02
536,-0.021,-0.021,-0.024,-0.023
537,-0.024,-0.023,-0.025,-0.026
538,-0.024,-0.022,-0.025,-0.026
539,-0.023,-0.021,-0.023,-0.025
540,-0.018,-0.018,-0.019,-0.021
541,-0.016,-0.015,-0.017,-0.018
542,-0.016,-0.016,-0.018,-0.019
543,-0.019,-0.019,-0.021,-0.023
544,-0.023,-0.021,-0.025,-0.027
545,-0.023,-0.021,-0.025,-0.026
546,-0.023,-0.021,-0.025,-0.025
547,-0.022,-0.021,-0.026,-0.024
548,-0.022,-0.021,-0.026,-0.025
549,-0.023,-0.021,-0.026,-0.027
550,-0.025,-0.022,-0.024,-0.027
551,-0.023,-0.021,-0.023,-0.025
552,-0.02,-0.019,-0.023,-0.022
553,-0.019,-0.017,-0.021,-0.022
554,-0.021,-0.019,-0.022,-0.025
555,-0.021,-0.02,-0.022,-0.026
556,-0.02,-0.019,-0.02,-0.025
557,-0.018,-0.016,-0.019,-0.022
558,-0.017,-0.015,-0.02,-0.022
559,-0.02,-0.017,-0.023,-0.024
560,-0.02,-0.017,-0.021,-0.024
561,-0.02,-0.017,-0.021,-0.023
562,-0.02,-0.017,-0.021,-0.021
563,-0.021,-0.019,-0.023,-0.021
564,-0.024,-0.022,-0.026,-0.024
565,-0.024,-0.023,-0.025,-0.026
566,-0.023,-0.022,-0.024,-0.026
567,-0.021,-0.022,-0.023,-0.024
568,-0.02,-0.02,-0.022,-0.023
569,-0.02,-0.019,-0.021,-0.022
570,-0.021,-0.019,-0.021,-0.023
571,-0.019,-0.019,-0.02,-0.021
572,-0.018,-0.018,-0.019,-0.02
573,-0.021,-0.02,-0.023,-0.022
574,-0.023,-0.022,-0.027,-0.026
575,-0.026,-0.025,-0.031,-0.029
576,-0.026,-0.025,-0.029,-0.029
577,-0.023,-0.023,-0.026,-0.027
578,-0.021,-0.021,-0.023,-0.023
579,-0.016,-0.017,-0.019,-0.019
580,-0.016,-0.015,-0.017,-0.017
581,-0.016,-0.015,-0.017,-0.016
582,-0.016,-0.016,-0.017,-0.016
583,-0.017,-0.018,-0.019,-0.019
584,-0.02,-0.021,-0.022,-0.024
585,-0.019,-0.02,-0.021,-0.023
586,-0.017,-0.017,-0.018,-0.02
587,-0.013,-0.011,-0.012,-0.013
588,-0.012,-0.009,-0.011,-0.012
589,-0.014,-0.013,-0.017,-0.015
590,-0.015,-0.016,-0.02,-0.016
591,-0.014,-0.014,-0.018,-0.015
592,-0.011,-0.011,-0.015,-0.014
593,-0.012,-0.014,-0.016,-0.015
594,-0.013,-0.015,-0.016,-0.016
595,-0.013,-0.012,-0.015,-0.013
596,-0.012,-0.01,-0.014,-0.012
597,-0.015,-0.014,-0.019,-0.015
598,-0.018,-0.018,-0.023,-0.019
599,-0.017,-0.017,-0.021,-0.019
600,-0.016,-0.014,-0.018,-0.017
601,-0.016,-0.014,-0.017,-0.017
602,-0.016,-0.015,-0.017,-0.016
603,-0.014,-0.016,-0.017,-0.014
604,-0.011,-0.014,-0.017,-0.012
605,-0.011,-0.013,-0.016,-0.011
606,-0.009,-0.011,-0.014,-0.011
607,-0.008,-0.009,-0.012,-0.01
608,-0.006,-0.008,-0.009,-0.008
609,-0.007,-0.008,-0.007,-0.007
610,-0.008,-0.008,-0.007,-0.009
611,-0.011,-0.011,-0.011,-0.012
612,-0.012,-0.013,-0.015,-0.013
613,-0.009,-0.012,-0.013,-0.012
614,-0.005,-0.008,-0.01,-0.008
615,-0.001,-0.006,-0.007,-0.005
616,0.002,-0.003,-0.005,0
617,0.001,-0.003,-0.005,0.002
618,-0.001,-0.004,-0.004,0.002
619,-0.003,-0.006,-0.003,-0.001
620,-0.001,-0.004,0,-0.001
621,0,0,0.001,0
622,0.001,0.001,0,0.001
623,0.001,-0.002,-0.002,0.001
624,-0.001,-0.005,-0.004,-0.001
625,-0.002,-0.005,-0.005,-0.002
