,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
215,0.808,0.793,0.803,0.804,0.82,0.482,0.484,0.474,0.459,0.495,1.473,1.363,1.437,1.336,1.347,0.717,0.734,0.745,0.757,0.7,0.312,0.308,0.305,0.303,0.318,0.152,0.148,0.128,0.154,0.149
216,0.707,0.698,0.694,0.696,0.714,0.407,0.405,0.399,0.386,0.42,1.528,1.445,1.504,1.312,1.375,0.73,0.725,0.745,0.759,0.72,0.321,0.319,0.315,0.312,0.327,0.157,0.152,0.137,0.159,0.153
217,0.573,0.555,0.541,0.548,0.56,0.311,0.309,0.305,0.297,0.319,1.497,1.455,1.573,1.371,1.408,0.734,0.72,0.741,0.745,0.711,0.343,0.343,0.341,0.332,0.35,0.167,0.163,0.156,0.17,0.163
218,0.443,0.424,0.415,0.422,0.424,0.229,0.235,0.222,0.222,0.236,1.463,1.471,1.465,1.422,1.476,0.733,0.711,0.738,0.737,0.703,0.374,0.375,0.372,0.362,0.381,0.182,0.178,0.175,0.185,0.178
219,0.365,0.35,0.342,0.351,0.352,0.187,0.191,0.183,0.178,0.192,1.307,1.294,1.448,1.264,1.349,0.682,0.66,0.687,0.684,0.644,0.409,0.413,0.405,0.397,0.419,0.201,0.198,0.197,0.204,0.198
220,0.336,0.321,0.316,0.32,0.322,0.173,0.179,0.17,0.164,0.176,1.064,1.041,1.078,1.016,1.096,0.598,0.586,0.607,0.605,0.568,0.45,0.452,0.443,0.438,0.46,0.222,0.217,0.211,0.223,0.218
221,0.332,0.322,0.317,0.319,0.324,0.173,0.181,0.173,0.166,0.177,0.823,0.839,0.85,0.769,0.834,0.519,0.505,0.521,0.521,0.498,0.492,0.492,0.486,0.48,0.506,0.243,0.237,0.233,0.246,0.237
222,0.355,0.338,0.334,0.335,0.343,0.182,0.19,0.181,0.175,0.185,0.672,0.69,0.733,0.666,0.673,0.448,0.448,0.456,0.456,0.438,0.534,0.532,0.53,0.521,0.553,0.265,0.259,0.253,0.267,0.259
223,0.379,0.36,0.358,0.357,0.364,0.194,0.201,0.192,0.188,0.195,0.684,0.691,0.707,0.66,0.677,0.41,0.409,0.418,0.415,0.4,0.578,0.574,0.574,0.559,0.593,0.284,0.277,0.273,0.286,0.28
224,0.409,0.39,0.388,0.386,0.392,0.211,0.215,0.207,0.203,0.211,0.62,0.628,0.635,0.599,0.615,0.357,0.359,0.362,0.361,0.345,0.618,0.62,0.612,0.598,0.635,0.305,0.297,0.3,0.307,0.3
225,0.441,0.425,0.423,0.423,0.426,0.23,0.235,0.228,0.222,0.23,0.542,0.54,0.541,0.519,0.534,0.3,0.304,0.303,0.304,0.286,0.659,0.666,0.655,0.639,0.679,0.325,0.317,0.319,0.329,0.321
226,0.476,0.466,0.464,0.463,0.468,0.25,0.255,0.248,0.242,0.25,0.447,0.448,0.442,0.423,0.437,0.242,0.244,0.244,0.243,0.226,0.703,0.708,0.698,0.682,0.727,0.345,0.336,0.342,0.349,0.34
227,0.524,0.512,0.513,0.509,0.514,0.273,0.279,0.272,0.265,0.272,0.343,0.345,0.34,0.324,0.334,0.183,0.184,0.184,0.183,0.169,0.752,0.752,0.745,0.727,0.776,0.365,0.357,0.36,0.369,0.361
228,0.574,0.563,0.563,0.559,0.563,0.297,0.304,0.297,0.29,0.296,0.248,0.247,0.249,0.233,0.239,0.13,0.132,0.131,0.128,0.117,0.803,0.8,0.793,0.773,0.825,0.381,0.375,0.381,0.387,0.38
229,0.627,0.612,0.611,0.606,0.61,0.321,0.329,0.321,0.314,0.321,0.169,0.169,0.174,0.159,0.162,0.087,0.091,0.089,0.086,0.077,0.841,0.839,0.832,0.813,0.865,0.396,0.39,0.397,0.402,0.394
230,0.676,0.659,0.658,0.655,0.657,0.348,0.356,0.346,0.339,0.346,0.114,0.114,0.121,0.107,0.108,0.058,0.063,0.059,0.056,0.048,0.867,0.869,0.861,0.841,0.894,0.407,0.403,0.409,0.416,0.407
231,0.722,0.705,0.704,0.7,0.703,0.374,0.382,0.371,0.364,0.371,0.078,0.08,0.084,0.074,0.072,0.04,0.044,0.041,0.038,0.03,0.883,0.884,0.878,0.86,0.911,0.418,0.413,0.419,0.426,0.417
232,0.766,0.752,0.751,0.746,0.751,0.402,0.411,0.398,0.39,0.399,0.056,0.058,0.06,0.051,0.049,0.029,0.031,0.029,0.026,0.018,0.896,0.896,0.893,0.873,0.921,0.428,0.424,0.428,0.436,0.427
233,0.809,0.803,0.801,0.796,0.8,0.43,0.44,0.427,0.419,0.428,0.044,0.046,0.048,0.038,0.036,0.023,0.025,0.022,0.02,0.012,0.913,0.915,0.912,0.887,0.94,0.44,0.434,0.441,0.449,0.439
234,0.859,0.851,0.849,0.845,0.848,0.458,0.468,0.455,0.447,0.457,0.037,0.039,0.042,0.031,0.03,0.019,0.022,0.019,0.016,0.009,0.931,0.934,0.934,0.902,0.962,0.453,0.445,0.451,0.46,0.451
