,0,1,2,3,4,5,6,7
313,-0.002,0.003,0.007,-0.002,-0.002,0.007,0.005,0.004
314,-0.002,0.002,0.006,-0.003,-0.003,0.006,0.004,0.004
315,-0.002,0.002,0.006,-0.002,-0.002,0.006,0.003,0.003
316,-0.001,0.002,0.007,-0.001,-0.002,0.007,0.004,0.005
317,-0.001,0.003,0.007,0,-0.001,0.007,0.005,0.005
318,0,0.004,0.008,0.001,-0.001,0.007,0.005,0.006
319,0,0.004,0.008,0,-0.002,0.007,0.006,0.005
320,-0.001,0.003,0.006,-0.002,-0.003,0.007,0.004,0.004
321,-0.002,0.002,0.005,-0.003,-0.004,0.007,0.004,0.003
322,-0.003,0.001,0.004,-0.004,-0.004,0.005,0.004,0.002
323,-0.004,0,0.003,-0.005,-0.005,0.004,0.003,0.001
324,-0.005,0.001,0.003,-0.004,-0.005,0.004,0.002,0.001
325,-0.005,0.001,0.003,-0.004,-0.006,0.004,0.002,0.002
326,-0.004,0.002,0.003,-0.005,-0.006,0.004,0.002,0.002
327,-0.004,0.001,0.003,-0.005,-0.006,0.004,0.003,0.003
328,-0.003,0.002,0.004,-0.004,-0.005,0.005,0.003,0.002
329,-0.003,0.001,0.003,-0.004,-0.004,0.004,0.002,0.001
330,-0.002,0,0.002,-0.003,-0.004,0.003,0.001,0.001
331,-0.002,0,0.002,-0.004,-0.005,0.003,0.001,0.001
332,-0.004,0,0.002,-0.005,-0.005,0.003,0.001,0.001
333,-0.005,0.001,0.003,-0.005,-0.005,0.004,0.002,0.002
334,-0.005,0.002,0.004,-0.005,-0.005,0.005,0.002,0.002
335,-0.007,0,0.002,-0.006,-0.006,0.003,0,0.001
336,-0.006,-0.001,0.001,-0.007,-0.008,0.001,-0.001,0
337,-0.006,-0.002,-0.001,-0.008,-0.008,0,-0.002,-0.002
338,-0.005,-0.001,0,-0.007,-0.007,0.001,-0.002,-0.001
339,-0.004,0,0,-0.006,-0.006,0.001,-0.001,0
340,-0.006,-0.001,0,-0.007,-0.007,0.001,-0.001,0
341,-0.007,-0.001,0,-0.008,-0.008,0.001,-0.002,0
342,-0.006,-0.001,0.001,-0.008,-0.007,0.002,-0.001,0
343,-0.005,-0.001,0.001,-0.007,-0.006,0.002,-0.001,0
344,-0.004,0,0.002,-0.006,-0.004,0.003,0,0
345,-0.004,0,0.001,-0.006,-0.005,0.001,0,0
346,-0.005,-0.001,0.001,-0.007,-0.007,0,-0.001,-0.001
347,-0.007,-0.002,0,-0.009,-0.009,-0.001,-0.002,-0.002
348,-0.008,-0.002,-0.001,-0.009,-0.009,-0.001,-0.003,-0.002
349,-0.008,-0.001,0,-0.008,-0.007,0,-0.002,-0.001
350,-0.007,-0.001,0,-0.007,-0.007,0,-0.002,0
351,-0.005,-0.001,0,-0.007,-0.007,0,-0.002,0
352,-0.004,-0.001,0.001,-0.007,-0.007,0,-0.002,-0.001
