,0,1,2,3
378,-0.006,-0.006,-0.006,-0.007
379,-0.005,-0.005,-0.005,-0.006
380,-0.005,-0.005,-0.005,-0.006
381,-0.004,-0.004,-0.004,-0.005
382,-0.003,-0.004,-0.003,-0.005
383,-0.003,-0.005,-0.004,-0.006
384,-0.004,-0.006,-0.005,-0.007
385,-0.005,-0.007,-0.006,-0.007
386,-0.004,-0.006,-0.006,-0.006
387,-0.004,-0.005,-0.005,-0.006
388,-0.005,-0.006,-0.007,-0.007
389,-0.006,-0.007,-0.009,-0.008
390,-0.006,-0.006,-0.007,-0.007
391,-0.004,-0.005,-0.005,-0.006
392,-0.005,-0.005,-0.004,-0.007
393,-0.005,-0.006,-0.005,-0.007
394,-0.005,-0.006,-0.007,-0.008
395,-0.005,-0.006,-0.009,-0.007
396,-0.003,-0.004,-0.007,-0.005
397,-0.002,-0.004,-0.005,-0.004
398,-0.001,-0.003,-0.003,-0.003
399,-0.002,-0.003,-0.003,-0.003
400,-0.004,-0.006,-0.006,-0.007
401,-0.006,-0.008,-0.009,-0.008
402,-0.008,-0.01,-0.011,-0.01
403,-0.007,-0.01,-0.011,-0.01
404,-0.008,-0.009,-0.01,-0.009
405,-0.006,-0.007,-0.008,-0.008
406,-0.005,-0.006,-0.007,-0.007
407,-0.004,-0.006,-0.007,-0.007
408,-0.004,-0.005,-0.006,-0.006
409,-0.004,-0.005,-0.004,-0.005
410,-0.004,-0.004,-0.003,-0.005
411,-0.004,-0.005,-0.005,-0.005
412,-0.004,-0.006,-0.007,-0.007
413,-0.005,-0.006,-0.008,-0.008
414,-0.004,-0.004,-0.007,-0.006
415,-0.004,-0.004,-0.007,-0.006
416,-0.003,-0.004,-0.005,-0.005
417,-0.002,-0.003,-0.004,-0.003
418,0,-0.001,-0.001,-0.002
419,0.001,-0.001,0,-0.001
420,0,-0.002,-0.001,-0.003
421,-0.002,-0.003,-0.002,-0.004
422,-0.003,-0.003,-0.002,-0.004
423,-0.004,-0.004,-0.002,-0.004
424,-0.006,-0.007,-0.005,-0.007
425,-0.007,-0.008,-0.006,-0.008
426,-0.007,-0.008,-0.007,-0.009
427,-0.005,-0.006,-0.006,-0.007
428,-0.004,-0.005,-0.005,-0.006
429,-0.005,-0.007,-0.007,-0.007
430,-0.006,-0.007,-0.008,-0.008
431,-0.007,-0.008,-0.009,-0.009
432,-0.008,-0.009,-0.008,-0.01
433,-0.007,-0.008,-0.006,-0.008
434,-0.006,-0.007,-0.006,-0.007
435,-0.004,-0.005,-0.005,-0.005
436,-0.003,-0.003,-0.004,-0.004
437,-0.002,-0.003,-0.004,-0.004
438,-0.002,-0.003,-0.005,-0.004
439,-0.002,-0.003,-0.007,-0.005
440,-0.004,-0.005,-0.009,-0.006
441,-0.005,-0.007,-0.008,-0.007
442,-0.006,-0.008,-0.008,-0.009
443,-0.007,-0.008,-0.008,-0.009
444,-0.006,-0.008,-0.007,-0.009
445,-0.004,-0.005,-0.005,-0.007
446,-0.005,-0.006,-0.006,-0.007
447,-0.007,-0.008,-0.008,-0.009
448,-0.008,-0.008,-0.008,-0.009
449,-0.007,-0.007,-0.008,-0.008
450,-0.005,-0.007,-0.006,-0.008
451,-0.006,-0.007,-0.005,-0.009
452,-0.006,-0.007,-0.005,-0.009
453,-0.006,-0.006,-0.005,-0.007
454,-0.005,-0.006,-0.007,-0.008
455,-0.005,-0.006,-0.008,-0.008
456,-0.004,-0.005,-0.007,-0.007
457,-0.003,-0.004,-0.005,-0.006
458,-0.002,-0.004,-0.003,-0.005
459,-0.003,-0.005,-0.003,-0.006
460,-0.007,-0.008,-0.005,-0.009
461,-0.008,-0.009,-0.007,-0.01
462,-0.007,-0.008,-0.009,-0.009
463,-0.004,-0.006,-0.01,-0.007
464,-0.004,-0.006,-0.009,-0.007
465,-0.007,-0.009,-0.006,-0.009
466,-0.006,-0.009,-0.004,-0.008
467,-0.004,-0.006,-0.004,-0.006
468,-0.002,-0.004,-0.005,-0.004
469,-0.005,-0.006,-0.009,-0.007
470,-0.008,-0.009,-0.01,-0.01
471,-0.007,-0.008,-0.009,-0.009
472,-0.004,-0.005,-0.006,-0.006
473,-0.003,-0.005,-0.005,-0.005
474,-0.003,-0.005,-0.005,-0.005
475,-0.005,-0.007,-0.005,-0.007
476,-0.006,-0.009,-0.007,-0.009
477,-0.006,-0.009,-0.007,-0.009
478,-0.005,-0.007,-0.005,-0.007
479,-0.004,-0.006,-0.003,-0.006
480,-0.004,-0.005,-0.002,-0.005
481,-0.003,-0.004,-0.001,-0.005
482,-0.003,-0.004,-0.002,-0.004
483,-0.004,-0.005,-0.003,-0.006
484,-0.008,-0.009,-0.007,-0.009
485,-0.011,-0.012,-0.014,-0.012
486,-0.013,-0.013,-0.018,-0.014
487,-0.013,-0.013,-0.017,-0.014
488,-0.013,-0.014,-0.014,-0.015
489,-0.014,-0.015,-0.014,-0.016
490,-0.015,-0.016,-0.015,-0.017
491,-0.015,-0.016,-0.014,-0.017
492,-0.016,-0.016,-0.014,-0.017
493,-0.015,-0.016,-0.012,-0.016
494,-0.013,-0.014,-0.008,-0.014
495,-0.012,-0.013,-0.007,-0.013
496,-0.013,-0.014,-0.008,-0.014
497,-0.015,-0.016,-0.011,-0.017
