,0,1,2,3,4
332,0.025,0.022,0.008,0.018,0.011
333,0.029,0.024,0.008,0.019,0.01
334,0.03,0.025,0.009,0.02,0.009
335,0.029,0.028,0.01,0.02,0.011
336,0.028,0.027,0.012,0.02,0.013
337,0.023,0.023,0.009,0.018,0.011
338,0.024,0.02,0.009,0.017,0.01
339,0.026,0.022,0.009,0.019,0.011
340,0.025,0.025,0.009,0.019,0.012
341,0.025,0.025,0.009,0.018,0.013
342,0.024,0.025,0.008,0.017,0.012
343,0.021,0.021,0.007,0.016,0.009
344,0.021,0.018,0.007,0.017,0.009
345,0.02,0.017,0.007,0.017,0.009
346,0.02,0.017,0.007,0.017,0.008
347,0.02,0.018,0.007,0.016,0.007
348,0.02,0.019,0.008,0.015,0.006
349,0.021,0.02,0.008,0.016,0.007
350,0.023,0.019,0.009,0.017,0.011
351,0.02,0.016,0.006,0.016,0.01
352,0.021,0.017,0.007,0.017,0.01
353,0.022,0.02,0.008,0.019,0.011
354,0.022,0.023,0.01,0.019,0.011
355,0.022,0.02,0.011,0.018,0.011
356,0.021,0.017,0.008,0.017,0.009
357,0.022,0.015,0.008,0.018,0.009
358,0.021,0.015,0.007,0.018,0.008
359,0.019,0.015,0.007,0.018,0.008
360,0.018,0.016,0.007,0.019,0.009
361,0.019,0.016,0.009,0.02,0.009
362,0.019,0.016,0.01,0.02,0.009
363,0.018,0.014,0.008,0.017,0.009
364,0.018,0.011,0.004,0.015,0.007
365,0.02,0.012,0.004,0.015,0.007
366,0.02,0.014,0.007,0.017,0.008
367,0.018,0.017,0.007,0.017,0.007
368,0.017,0.017,0.006,0.016,0.007
369,0.017,0.018,0.006,0.017,0.007
370,0.016,0.019,0.008,0.019,0.011
371,0.015,0.017,0.007,0.017,0.011
372,0.015,0.016,0.007,0.013,0.009
373,0.018,0.014,0.006,0.013,0.009
374,0.02,0.015,0.008,0.017,0.011
375,0.019,0.016,0.01,0.019,0.012
376,0.017,0.016,0.01,0.018,0.011
377,0.019,0.019,0.013,0.019,0.011
378,0.019,0.019,0.011,0.018,0.009
379,0.021,0.017,0.008,0.018,0.01
380,0.023,0.016,0.008,0.019,0.012
381,0.02,0.015,0.008,0.019,0.012
382,0.017,0.015,0.008,0.019,0.009
383,0.013,0.013,0.007,0.017,0.005
384,0.014,0.013,0.006,0.017,0.007
385,0.02,0.015,0.008,0.019,0.011
386,0.021,0.017,0.01,0.02,0.011
387,0.019,0.016,0.008,0.018,0.009
388,0.018,0.015,0.009,0.017,0.009
389,0.016,0.013,0.007,0.015,0.008
390,0.016,0.012,0.007,0.016,0.009
391,0.016,0.013,0.005,0.017,0.008
392,0.016,0.014,0.006,0.017,0.009
393,0.018,0.018,0.011,0.017,0.01
394,0.018,0.02,0.014,0.017,0.011
395,0.018,0.017,0.013,0.016,0.01
396,0.018,0.017,0.01,0.016,0.009
397,0.016,0.014,0.007,0.015,0.008
398,0.017,0.014,0.007,0.015,0.008
399,0.016,0.015,0.008,0.017,0.009
400,0.015,0.013,0.007,0.016,0.009
401,0.014,0.011,0.006,0.013,0.006
402,0.014,0.011,0.005,0.011,0.006
403,0.017,0.013,0.007,0.014,0.008
404,0.02,0.016,0.01,0.019,0.011
405,0.02,0.014,0.009,0.019,0.01
406,0.016,0.011,0.006,0.015,0.006
407,0.015,0.011,0.004,0.013,0.007
408,0.016,0.012,0.005,0.014,0.008
409,0.018,0.013,0.006,0.017,0.01
410,0.018,0.014,0.006,0.015,0.009
411,0.019,0.016,0.009,0.015,0.008
412,0.021,0.019,0.011,0.016,0.009
413,0.019,0.016,0.009,0.016,0.008
414,0.014,0.015,0.006,0.015,0.005
415,0.008,0.009,0.002,0.01,0.001
416,0.009,0.008,0.002,0.01,-0.001
417,0.013,0.01,0.004,0.011,0.002
418,0.015,0.016,0.008,0.012,0.005
419,0.018,0.024,0.012,0.015,0.009
420,0.014,0.02,0.01,0.013,0.007
421,0.014,0.015,0.005,0.01,0.004
422,0.015,0.011,0.004,0.009,0.004
423,0.016,0.012,0.005,0.01,0.006
424,0.018,0.015,0.007,0.013,0.01
425,0.017,0.012,0.006,0.014,0.009
426,0.018,0.013,0.008,0.016,0.01
427,0.02,0.015,0.01,0.018,0.01
428,0.019,0.014,0.008,0.019,0.01
429,0.017,0.013,0.005,0.016,0.009
430,0.015,0.008,0.002,0.013,0.006
431,0.014,0.009,0.003,0.013,0.007
432,0.016,0.01,0.007,0.015,0.009
433,0.022,0.015,0.012,0.019,0.014
434,0.022,0.017,0.012,0.019,0.013
435,0.02,0.017,0.009,0.016,0.01
436,0.015,0.015,0.004,0.013,0.008
437,0.012,0.012,0.003,0.012,0.006
438,0.013,0.013,0.003,0.013,0.006
439,0.013,0.013,0.003,0.013,0.004
440,0.016,0.016,0.006,0.014,0.006
441,0.018,0.019,0.009,0.014,0.007
442,0.02,0.022,0.012,0.015,0.009
443,0.019,0.02,0.012,0.015,0.011
444,0.014,0.016,0.011,0.013,0.011
445,0.01,0.011,0.007,0.012,0.008
446,0.01,0.009,0.003,0.01,0.004
447,0.014,0.007,0.002,0.01,0.004
448,0.015,0.008,0.003,0.011,0.006
449,0.017,0.011,0.004,0.012,0.009
450,0.016,0.012,0.007,0.014,0.01
451,0.013,0.012,0.006,0.013,0.009
452,0.012,0.008,0.003,0.01,0.008
453,0.013,0.009,0.003,0.009,0.006
454,0.016,0.012,0.007,0.013,0.008
455,0.018,0.015,0.011,0.014,0.007
456,0.015,0.011,0.007,0.014,0.007
457,0.008,0.001,-0.002,0.007,0.003
458,0.005,-0.003,-0.007,0.004,0
459,0.003,-0.002,-0.008,0.004,-0.001
460,0.007,0.001,-0.006,0.004,-0.001
461,0.011,0.005,-0.002,0.009,0.003
462,0.016,0.01,0.003,0.014,0.007
463,0.019,0.011,0.005,0.017,0.009
464,0.016,0.01,0.005,0.016,0.007
465,0.016,0.007,0.006,0.014,0.008
466,0.017,0.011,0.009,0.015,0.011
467,0.021,0.015,0.012,0.017,0.015
468,0.021,0.018,0.012,0.016,0.013
469,0.018,0.018,0.011,0.013,0.01
470,0.019,0.018,0.01,0.013,0.01
471,0.02,0.017,0.008,0.015,0.01
472,0.019,0.014,0.004,0.013,0.008
473,0.009,0.009,0,0.005,0
474,0.002,0.006,-0.004,-0.001,-0.006
475,0.001,0.005,-0.004,0,-0.007
476,0.005,0.006,-0.003,0.005,-0.003
477,0.005,0.006,-0.002,0.007,0
478,0.008,0.004,-0.003,0.007,0.001
479,0.014,0.006,0,0.008,0.004
480,0.017,0.011,0.004,0.007,0.005
481,0.015,0.013,0.005,0.004,0.001
482,0.01,0.008,0,0.002,-0.002
483,0.007,0.003,-0.005,0.001,-0.003
484,0.006,0.002,-0.005,0.002,-0.001
485,0.007,0.002,-0.004,0.001,-0.001
486,0.007,0.004,-0.003,0.002,-0.002
487,0.008,0.004,-0.004,0.003,-0.002
488,0.009,0.005,-0.003,0.004,-0.002
489,0.009,0.004,-0.003,0.005,-0.002
490,0.006,0,-0.006,0.003,-0.004
491,0.001,-0.005,-0.011,0,-0.008
492,-0.001,-0.007,-0.012,-0.003,-0.01
493,0.004,-0.004,-0.009,-0.001,-0.007
494,0.008,0.001,-0.003,0.003,-0.002
495,0.008,0.005,-0.001,0.003,-0.002
496,0.005,0.007,-0.002,0.002,-0.002
