,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
262,0.453,0.639,0.184,0.228,0.172,1.728,1.783,1.874,1.55,1.613,0.335,0.336,0.343,0.184,0.2,0.188,0.188,0.195
263,0.665,0.663,0.221,0.306,0.251,1.66,1.689,1.617,1.356,1.432,0.307,0.309,0.317,0.17,0.187,0.176,0.177,0.181
264,1.015,0.87,0.428,0.518,0.441,1.649,1.57,1.39,1.235,1.269,0.289,0.289,0.299,0.161,0.176,0.168,0.168,0.171
265,1.26,1.106,0.864,0.833,0.768,1.554,1.477,1.37,1.135,1.144,0.285,0.282,0.292,0.158,0.172,0.165,0.166,0.166
266,1.476,1.271,1.272,1.154,1.127,1.428,1.408,1.373,1.062,1.076,0.283,0.278,0.287,0.154,0.169,0.16,0.161,0.164
267,1.619,1.631,1.55,1.437,1.38,1.293,1.37,1.36,1.035,1.038,0.264,0.262,0.271,0.146,0.16,0.148,0.149,0.155
268,1.618,1.719,1.601,1.567,1.495,1.289,1.381,1.371,1.019,1.02,0.235,0.237,0.243,0.132,0.144,0.133,0.136,0.141
269,1.62,1.667,1.558,1.557,1.451,1.285,1.388,1.345,1.024,1.021,0.21,0.213,0.216,0.118,0.129,0.121,0.123,0.127
270,1.571,1.635,1.513,1.507,1.405,1.318,1.384,1.347,1.035,1.035,0.191,0.194,0.196,0.107,0.118,0.112,0.114,0.118
271,1.567,1.567,1.41,1.484,1.384,1.362,1.416,1.397,1.057,1.071,0.17,0.173,0.173,0.094,0.107,0.099,0.104,0.107
272,1.59,1.543,1.437,1.514,1.398,1.412,1.437,1.453,1.083,1.09,0.131,0.136,0.135,0.075,0.087,0.076,0.083,0.085
273,1.612,1.562,1.4,1.522,1.417,1.436,1.456,1.507,1.106,1.113,0.092,0.099,0.094,0.053,0.065,0.053,0.062,0.061
274,1.582,1.525,1.374,1.484,1.396,1.463,1.464,1.51,1.116,1.13,0.065,0.073,0.067,0.039,0.051,0.038,0.047,0.046
275,1.508,1.497,1.33,1.42,1.348,1.471,1.463,1.507,1.13,1.148,0.049,0.06,0.053,0.032,0.042,0.03,0.039,0.039
276,1.409,1.432,1.258,1.368,1.284,1.463,1.494,1.498,1.152,1.169,0.043,0.052,0.045,0.028,0.037,0.027,0.036,0.036
277,1.348,1.366,1.245,1.333,1.228,1.49,1.521,1.491,1.17,1.186,0.037,0.046,0.039,0.025,0.034,0.024,0.033,0.034
278,1.359,1.343,1.229,1.328,1.209,1.503,1.511,1.478,1.198,1.206,0.034,0.042,0.036,0.024,0.033,0.023,0.032,0.032
279,1.42,1.344,1.226,1.359,1.225,1.552,1.486,1.498,1.217,1.23,0.031,0.041,0.034,0.024,0.034,0.022,0.031,0.031
280,1.489,1.379,1.268,1.402,1.282,1.535,1.512,1.473,1.234,1.239,0.028,0.04,0.032,0.023,0.033,0.021,0.03,0.03
281,1.552,1.431,1.313,1.432,1.341,1.506,1.578,1.494,1.24,1.239,0.027,0.038,0.03,0.021,0.031,0.02,0.026,0.029
282,1.55,1.471,1.345,1.457,1.362,1.509,1.635,1.53,1.234,1.226,0.026,0.035,0.029,0.019,0.03,0.018,0.022,0.028
283,1.449,1.43,1.298,1.401,1.298,1.481,1.619,1.554,1.215,1.203,0.026,0.035,0.028,0.019,0.029,0.018,0.022,0.027
284,1.273,1.274,1.146,1.249,1.14,1.495,1.546,1.559,1.185,1.176,0.026,0.034,0.028,0.018,0.029,0.019,0.023,0.027
285,1.044,1.07,0.964,1.055,0.954,1.481,1.487,1.515,1.149,1.153,0.025,0.032,0.027,0.017,0.026,0.019,0.022,0.025
286,0.89,0.901,0.808,0.871,0.8,1.454,1.487,1.484,1.116,1.14,0.023,0.029,0.026,0.017,0.024,0.017,0.021,0.024
287,0.804,0.825,0.735,0.796,0.725,1.409,1.46,1.43,1.092,1.115,0.021,0.027,0.024,0.016,0.024,0.015,0.02,0.023
288,0.829,0.851,0.763,0.823,0.75,1.349,1.428,1.41,1.064,1.084,0.021,0.027,0.023,0.016,0.024,0.014,0.021,0.025
289,0.98,0.996,0.892,0.955,0.877,1.318,1.367,1.374,1.034,1.047,0.019,0.027,0.022,0.015,0.023,0.012,0.022,0.025
290,1.126,1.122,1.02,1.088,1.002,1.27,1.307,1.329,0.99,0.999,0.017,0.027,0.02,0.014,0.022,0.01,0.021,0.024
291,1.107,1.089,0.995,1.065,0.981,1.201,1.238,1.25,0.926,0.933,0.016,0.026,0.019,0.013,0.022,0.011,0.021,0.022
292,0.869,0.857,0.779,0.841,0.77,1.093,1.137,1.121,0.839,0.844,0.015,0.023,0.018,0.012,0.023,0.013,0.02,0.021
293,0.528,0.539,0.482,0.523,0.475,0.966,1.009,0.984,0.733,0.737,0.014,0.022,0.017,0.012,0.023,0.015,0.019,0.022
294,0.272,0.299,0.252,0.274,0.248,0.828,0.866,0.845,0.622,0.627,0.012,0.021,0.016,0.012,0.021,0.014,0.018,0.021
295,0.139,0.164,0.131,0.142,0.128,0.692,0.72,0.707,0.515,0.519,0.012,0.023,0.015,0.012,0.02,0.012,0.017,0.02
296,0.079,0.101,0.076,0.083,0.074,0.562,0.585,0.581,0.417,0.42,0.012,0.023,0.013,0.011,0.02,0.01,0.017,0.02
297,0.05,0.071,0.05,0.054,0.049,0.449,0.465,0.465,0.329,0.333,0.012,0.02,0.011,0.011,0.019,0.009,0.016,0.02
298,0.032,0.055,0.036,0.038,0.036,0.354,0.363,0.364,0.254,0.26,0.009,0.018,0.01,0.01,0.016,0.009,0.013,0.02
299,0.023,0.046,0.026,0.028,0.028,0.278,0.286,0.287,0.199,0.205,0.009,0.016,0.011,0.011,0.015,0.01,0.012,0.021
300,0.017,0.04,0.02,0.023,0.023,0.218,0.225,0.225,0.156,0.161,0.009,0.016,0.012,0.012,0.016,0.011,0.014,0.02
301,0.013,0.036,0.018,0.019,0.019,0.173,0.179,0.179,0.123,0.127,0.009,0.016,0.011,0.012,0.017,0.011,0.016,0.02
302,0.01,0.032,0.016,0.016,0.016,0.14,0.144,0.142,0.1,0.102,0.008,0.015,0.011,0.012,0.017,0.011,0.015,0.018
303,0.008,0.028,0.012,0.014,0.015,0.113,0.117,0.118,0.081,0.084,0.004,0.014,0.01,0.01,0.017,0.009,0.012,0.018
304,0.007,0.027,0.009,0.013,0.014,0.095,0.099,0.101,0.069,0.072,0.004,0.015,0.011,0.01,0.018,0.007,0.012,0.018
305,0.006,0.026,0.008,0.013,0.014,0.083,0.086,0.09,0.059,0.062,0.005,0.016,0.011,0.01,0.016,0.008,0.015,0.022
306,0.006,0.025,0.009,0.012,0.013,0.075,0.077,0.08,0.052,0.055,0.007,0.016,0.01,0.01,0.016,0.007,0.017,0.022
307,0.007,0.025,0.008,0.01,0.011,0.067,0.07,0.072,0.045,0.05,0.007,0.013,0.009,0.008,0.015,0.006,0.014,0.019
308,0.006,0.024,0.007,0.008,0.011,0.06,0.066,0.065,0.042,0.047,0.007,0.011,0.008,0.007,0.013,0.006,0.01,0.017
309,0.004,0.023,0.008,0.009,0.011,0.057,0.063,0.063,0.041,0.045,0.005,0.01,0.009,0.008,0.014,0.006,0.008,0.015
310,0.003,0.022,0.009,0.009,0.012,0.056,0.062,0.065,0.042,0.045,0.005,0.012,0.01,0.009,0.013,0.006,0.007,0.016
311,0.002,0.021,0.008,0.009,0.012,0.056,0.062,0.063,0.042,0.045,0.004,0.013,0.01,0.009,0.013,0.007,0.008,0.014
312,0.004,0.022,0.007,0.009,0.011,0.055,0.061,0.063,0.042,0.046,0.006,0.013,0.01,0.008,0.011,0.007,0.009,0.015
313,0.005,0.024,0.007,0.009,0.01,0.055,0.062,0.061,0.041,0.045,0.008,0.012,0.009,0.007,0.012,0.007,0.011,0.017
314,0.005,0.024,0.009,0.01,0.01,0.057,0.062,0.064,0.041,0.045,0.01,0.011,0.009,0.008,0.014,0.008,0.013,0.018
315,0.006,0.023,0.009,0.009,0.01,0.056,0.061,0.065,0.039,0.042,0.009,0.012,0.008,0.008,0.016,0.009,0.014,0.019
316,0.005,0.02,0.01,0.008,0.01,0.053,0.059,0.064,0.038,0.04,0.006,0.012,0.007,0.007,0.014,0.008,0.011,0.016
317,0.004,0.019,0.009,0.006,0.009,0.05,0.057,0.063,0.036,0.039,0.007,0.012,0.006,0.005,0.011,0.008,0.007,0.015
318,0.004,0.018,0.009,0.004,0.008,0.051,0.057,0.062,0.036,0.039,0.006,0.011,0.006,0.004,0.009,0.007,0.007,0.015
319,0.002,0.017,0.006,0.004,0.007,0.05,0.057,0.062,0.036,0.039,0.004,0.009,0.006,0.005,0.008,0.005,0.005,0.013
320,0,0.017,0.004,0.005,0.008,0.051,0.057,0.062,0.038,0.04,0.004,0.01,0.008,0.006,0.011,0.005,0.008,0.014
321,-0.001,0.017,0.004,0.007,0.009,0.05,0.057,0.064,0.039,0.042,0.005,0.009,0.008,0.007,0.011,0.005,0.009,0.013
322,-0.001,0.014,0.004,0.007,0.009,0.05,0.058,0.062,0.039,0.043,0.006,0.009,0.007,0.007,0.012,0.007,0.008,0.013
323,0,0.015,0.005,0.007,0.009,0.051,0.059,0.061,0.038,0.042,0.005,0.01,0.005,0.006,0.013,0.006,0.008,0.012
324,-0.001,0.015,0.004,0.006,0.008,0.048,0.058,0.059,0.036,0.04,0.003,0.009,0.004,0.005,0.01,0.004,0.005,0.012
325,-0.002,0.018,0.005,0.007,0.008,0.048,0.057,0.061,0.037,0.039,0.004,0.012,0.005,0.005,0.012,0.005,0.009,0.015
326,0.001,0.019,0.009,0.007,0.009,0.049,0.056,0.065,0.038,0.039,0.008,0.013,0.006,0.006,0.012,0.008,0.012,0.018
327,0.002,0.017,0.009,0.004,0.008,0.048,0.055,0.064,0.037,0.038,0.009,0.013,0.005,0.006,0.012,0.01,0.013,0.019
328,0.002,0.019,0.008,0.004,0.008,0.047,0.055,0.062,0.035,0.037,0.007,0.01,0.005,0.005,0.011,0.01,0.01,0.017
329,0.001,0.016,0.007,0.004,0.007,0.044,0.053,0.058,0.032,0.036,0.003,0.008,0.005,0.004,0.009,0.007,0.006,0.014
330,0,0.014,0.004,0.004,0.007,0.043,0.052,0.057,0.032,0.036,-0.001,0.008,0.005,0.004,0.01,0.004,0.005,0.013
331,-0.002,0.012,0.004,0.005,0.006,0.042,0.051,0.056,0.032,0.036,-0.002,0.007,0.005,0.004,0.009,0.002,0.004,0.009
332,-0.003,0.012,0.004,0.005,0.007,0.043,0.052,0.052,0.033,0.036,-0.001,0.006,0.005,0.005,0.009,0.003,0.005,0.007
333,-0.003,0.017,0.006,0.007,0.008,0.045,0.054,0.053,0.034,0.037,0.002,0.009,0.007,0.006,0.01,0.006,0.007,0.009
334,0,0.018,0.009,0.008,0.009,0.048,0.053,0.056,0.035,0.039,0.003,0.011,0.008,0.007,0.012,0.008,0.009,0.012
335,0,0.017,0.006,0.005,0.008,0.045,0.052,0.056,0.033,0.037,0.002,0.01,0.006,0.005,0.011,0.006,0.01,0.015
336,0,0.013,0.004,0.003,0.006,0.041,0.049,0.055,0.032,0.035,0.003,0.007,0.003,0.003,0.009,0.005,0.008,0.014
337,0,0.011,0.004,0.003,0.007,0.039,0.049,0.053,0.032,0.033,0.004,0.005,0.003,0.004,0.012,0.005,0.008,0.014
338,0.001,0.011,0.005,0.007,0.008,0.04,0.049,0.051,0.031,0.034,0.006,0.005,0.005,0.006,0.011,0.005,0.006,0.015
339,0,0.013,0.007,0.009,0.009,0.04,0.047,0.048,0.03,0.034,0.006,0.006,0.008,0.006,0.008,0.005,0.003,0.015
340,-0.003,0.01,0.006,0.006,0.008,0.038,0.044,0.042,0.028,0.032,0.003,0.006,0.006,0.005,0.006,0.002,0.003,0.012
341,-0.004,0.009,0.005,0.005,0.006,0.036,0.043,0.041,0.026,0.03,0.001,0.006,0.004,0.003,0.006,0,0.002,0.01
342,-0.003,0.01,0.005,0.003,0.006,0.035,0.044,0.044,0.025,0.03,0.001,0.008,0.004,0.003,0.009,0,0.005,0.009
343,-0.002,0.012,0.007,0.004,0.007,0.034,0.044,0.045,0.025,0.029,0.001,0.007,0.004,0.005,0.01,0.002,0.006,0.01
344,-0.003,0.013,0.006,0.005,0.008,0.033,0.043,0.044,0.026,0.028,0.003,0.006,0.005,0.005,0.01,0.004,0.005,0.009
345,-0.004,0.011,0.002,0.005,0.006,0.032,0.039,0.039,0.025,0.026,0.001,0.004,0.004,0.005,0.009,0.001,0.002,0.007
346,-0.005,0.01,0.001,0.003,0.004,0.03,0.037,0.035,0.022,0.025,-0.001,0.003,0.004,0.003,0.007,0,0.001,0.006
347,-0.002,0.01,0.003,0.003,0.003,0.028,0.036,0.034,0.019,0.024,-0.001,0.003,0.003,0.002,0.008,0.004,0.001,0.008
348,0.001,0.01,0.008,0.004,0.006,0.027,0.037,0.038,0.019,0.025,0.003,0.005,0.005,0.004,0.01,0.008,0.004,0.012
349,0.001,0.01,0.01,0.006,0.006,0.028,0.035,0.04,0.018,0.024,0.005,0.006,0.005,0.005,0.012,0.009,0.006,0.012
350,-0.001,0.01,0.009,0.005,0.007,0.026,0.033,0.039,0.019,0.023,0.005,0.008,0.005,0.006,0.012,0.007,0.005,0.012
351,-0.003,0.01,0.006,0.004,0.008,0.025,0.032,0.036,0.019,0.023,0.002,0.008,0.006,0.005,0.009,0.002,0.005,0.012
352,-0.004,0.011,0.002,0.004,0.007,0.026,0.033,0.034,0.018,0.022,-0.002,0.007,0.004,0.004,0.009,-0.001,0.004,0.013
353,-0.004,0.012,0.002,0.005,0.007,0.025,0.033,0.034,0.019,0.022,-0.002,0.006,0.004,0.004,0.009,0.001,0.004,0.012
354,-0.003,0.011,0,0.004,0.006,0.023,0.029,0.031,0.017,0.02,-0.003,0.003,0.003,0.004,0.006,0.003,0.003,0.011
355,-0.002,0.012,0.001,0.004,0.006,0.019,0.028,0.031,0.016,0.019,0,0.004,0.004,0.005,0.006,0.006,0.003,0.011
356,-0.001,0.013,0.003,0.002,0.005,0.016,0.025,0.028,0.014,0.018,0.001,0.004,0.004,0.005,0.005,0.005,0.002,0.01
357,-0.001,0.012,0.004,0.002,0.005,0.015,0.024,0.026,0.012,0.017,0.002,0.005,0.003,0.005,0.005,0.002,0.002,0.011
358,0,0.012,0.004,0.002,0.006,0.015,0.023,0.027,0.012,0.017,0.003,0.006,0.003,0.005,0.005,0.004,0.001,0.011
359,-0.001,0.01,0.002,0.001,0.005,0.015,0.023,0.027,0.011,0.016,0.002,0.005,0.001,0.004,0.004,0.004,0.001,0.012
360,-0.001,0.013,0.003,0.002,0.005,0.014,0.023,0.028,0.011,0.015,0.003,0.005,0.003,0.005,0.005,0.006,0.003,0.013
361,0,0.015,0.005,0.003,0.005,0.015,0.023,0.028,0.012,0.015,0.003,0.005,0.004,0.005,0.007,0.005,0.005,0.013
