,0,1,2,3,4,5,6
658,-0.016,-0.003,-0.009,0.008,-0.004,0.01,-0.001
659,-0.01,-0.001,-0.008,0.007,0.007,0.007,-0.001
660,-0.001,0.006,-0.002,0.006,0.017,0.007,0.006
661,0.004,0.015,0.008,0.011,0.024,0.008,0.014
662,0.001,0.012,0.015,0.017,0.022,0.008,0.018
663,-0.003,0.004,0.014,0.017,0.018,0.007,0.011
664,-0.009,-0.001,0.009,0.017,0.017,0.009,0.003
665,-0.011,0.001,0.008,0.016,0.021,0.012,0.001
666,-0.01,0.003,0.004,0.014,0.02,0.011,0.002
667,-0.005,0.011,0.002,0.014,0.015,0.009,0.008
668,-0.004,0.016,0.005,0.014,0.011,0.009,0.013
669,0,0.018,0.009,0.012,0.012,0.01,0.02
670,0.003,0.013,0.008,0.012,0.013,0.012,0.02
671,0.008,0.012,0.005,0.01,0.01,0.013,0.016
672,0.004,0.011,0.002,0.006,0.01,0.01,0.007
673,-0.004,0.007,0.003,0.005,0.014,0.006,0.002
674,-0.008,0.001,0.002,0.005,0.016,0.003,0.001
675,-0.011,0.002,0.004,0.007,0.007,0.002,0.003
676,-0.013,0.014,0.008,0.007,0.003,0.006,0.009
677,-0.008,0.019,0.011,0.01,0.007,0.015,0.019
678,-0.002,0.018,0.007,0.012,0.014,0.015,0.02
679,0.002,0.018,0.005,0.016,0.013,0.011,0.019
680,0,0.019,0.005,0.017,0.01,0.01,0.015
681,-0.005,0.017,0.007,0.016,0.008,0.011,0.015
682,-0.009,0.015,0.009,0.018,0.008,0.014,0.016
683,-0.004,0.015,0.008,0.019,0.013,0.021,0.021
684,0.001,0.018,0.008,0.022,0.018,0.024,0.024
685,0.003,0.018,0.011,0.019,0.02,0.018,0.025
686,0.004,0.02,0.013,0.015,0.018,0.016,0.027
687,0.013,0.023,0.014,0.011,0.013,0.014,0.032
688,0.017,0.027,0.012,0.009,0.009,0.011,0.035
689,0.008,0.025,0.007,0.007,0.008,0.007,0.028
690,-0.001,0.014,0.005,0.008,0.012,0.006,0.017
691,-0.003,0.005,0.001,0.007,0.014,0.004,0.006
692,0,0,-0.003,0.007,0.021,0.003,0.005
693,-0.003,0.002,-0.005,0.007,0.023,0.004,0.008
694,-0.009,0.003,-0.002,0.009,0.023,0.01,0.012
695,-0.007,0.003,0.002,0.011,0.013,0.015,0.011
696,-0.005,0.007,0.008,0.016,0.008,0.02,0.009
697,-0.003,0.01,0.015,0.02,0.009,0.02,0.012
698,-0.007,0.011,0.019,0.018,0.006,0.013,0.01
699,-0.009,0.006,0.019,0.014,0.006,0.006,0.008
700,-0.005,0.009,0.014,0.012,0.014,0.006,0.006
701,-0.002,0.018,0.011,0.016,0.022,0.014,0.012
702,0.002,0.024,0.009,0.018,0.027,0.021,0.021
703,0.001,0.021,0.005,0.017,0.023,0.022,0.022
704,-0.006,0.018,0.002,0.014,0.018,0.019,0.022
705,-0.013,0.014,0,0.012,0.013,0.016,0.019
706,-0.018,0.007,-0.003,0.009,0.012,0.009,0.015
707,-0.011,0.001,-0.003,0.007,0.012,0.003,0.009
708,-0.006,0.005,-0.001,0.008,0.01,0.002,0.009
709,-0.001,0.014,0.007,0.008,0.012,0.005,0.011
710,-0.003,0.02,0.013,0.008,0.015,0.007,0.013
711,-0.003,0.017,0.008,0.005,0.019,0.005,0.014
712,-0.001,0.012,0.003,0.007,0.02,0.005,0.015
713,-0.001,0.009,0.005,0.011,0.024,0.008,0.017
714,-0.004,0.009,0.012,0.013,0.027,0.009,0.014
715,-0.007,0.012,0.011,0.015,0.026,0.007,0.007
716,-0.008,0.01,0.006,0.01,0.018,0.002,0.002
717,-0.01,0.002,0.003,0.002,0.013,-0.003,-0.006
718,-0.012,-0.004,0.003,-0.001,0.006,-0.002,-0.005
719,-0.008,0.004,0.008,0.004,0.006,0.003,0.007
720,-0.003,0.014,0.007,0.006,0.005,0.007,0.018
721,0,0.016,0.003,-0.001,0.005,0.003,0.018
722,-0.004,0.009,-0.006,-0.008,0.007,-0.001,0.014
723,-0.007,0.008,-0.007,-0.007,0.009,-0.003,0.011
724,-0.008,0.01,-0.007,-0.002,0.012,-0.001,0.01
725,-0.01,0.014,-0.003,0.004,0.009,0.003,0.008
726,-0.005,0.012,0.001,0.01,0.009,0.01,0.008
727,-0.009,0.016,0.005,0.011,0.009,0.013,0.011
728,-0.002,0.018,0.009,0.011,0.01,0.013,0.018
729,-0.002,0.013,0.007,0.01,0.009,0.009,0.015
730,-0.002,0.002,0.003,0.005,0.009,0.007,0.003
731,-0.008,0.002,0.001,0.003,0.011,0.011,-0.003
732,-0.004,0.009,-0.001,0.006,0.013,0.015,0.004
733,-0.007,0.01,-0.006,0.01,0.014,0.015,0.006
734,-0.009,0.004,-0.011,0.007,0.007,0.007,-0.003
735,-0.009,-0.002,-0.006,0.003,0.006,-0.001,-0.011
736,-0.004,-0.002,-0.002,0,0.011,-0.004,-0.009
737,-0.004,-0.002,0.002,0.003,0.019,-0.002,0.001
738,-0.002,0.007,0.003,0.006,0.022,0.004,0.012
739,-0.006,0.011,0.003,0.008,0.018,0.005,0.012
740,-0.017,0.005,-0.002,0.002,0.008,0.001,0.004
741,-0.027,-0.002,-0.004,0,0.002,-0.001,-0.003
742,-0.025,-0.005,-0.003,0.005,0.003,0,-0.009
743,-0.016,-0.004,0,0.008,0.005,0.007,-0.01
744,-0.011,-0.001,-0.001,0.005,0.007,0.005,-0.01
745,-0.012,-0.002,0,0.002,0.006,0.001,-0.004
746,-0.008,0.002,0,0.002,0.008,-0.002,-0.001
747,-0.004,0.002,0.001,0.004,0.013,0.001,0.004
748,0.001,0.003,-0.007,0.004,0.013,0.002,0.003
749,0,-0.001,-0.006,0.001,0.007,0,0.001
750,0,0,0,0,0,0,0
