,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
233,0.149,0.136,0.238,0.22,0.199,0.243,0.249,0.302,0.379,0.382,0.428,0.43,0.48,0.479,0.549,0.599,0.606,0.007,0.01,0.009,0.02,0.018,0.01,0.017,0.017,0.016,0.017,0.013,0.017,0.013,0.011,0.021,0.018,0.019,0.022,0.02,0.018,0.025,0.021,0.116,0.108,0.154,0.146,0.221,0.227,0.263,0.252,0.288,0.28,0.327,0.366,0.404,0.385,0.447,0.448,0.511,0.499
234,0.156,0.144,0.253,0.234,0.211,0.257,0.264,0.32,0.402,0.407,0.454,0.458,0.507,0.508,0.584,0.635,0.641,0.007,0.01,0.01,0.019,0.015,0.009,0.016,0.016,0.015,0.016,0.012,0.015,0.011,0.01,0.02,0.017,0.017,0.02,0.018,0.017,0.022,0.019,0.126,0.117,0.168,0.159,0.24,0.246,0.284,0.273,0.312,0.305,0.353,0.395,0.437,0.416,0.484,0.484,0.553,0.54
235,0.164,0.151,0.267,0.247,0.221,0.271,0.278,0.338,0.425,0.428,0.48,0.485,0.535,0.537,0.617,0.669,0.679,0.006,0.008,0.008,0.018,0.012,0.008,0.015,0.015,0.014,0.014,0.011,0.013,0.01,0.008,0.018,0.014,0.015,0.019,0.016,0.014,0.019,0.017,0.135,0.125,0.18,0.171,0.259,0.265,0.304,0.292,0.336,0.328,0.38,0.425,0.468,0.448,0.519,0.52,0.594,0.58
236,0.172,0.159,0.281,0.259,0.232,0.286,0.292,0.357,0.447,0.45,0.504,0.509,0.564,0.567,0.649,0.702,0.716,0.006,0.009,0.008,0.018,0.012,0.008,0.015,0.016,0.014,0.013,0.011,0.013,0.01,0.007,0.018,0.014,0.015,0.019,0.016,0.015,0.019,0.016,0.145,0.133,0.192,0.182,0.277,0.284,0.323,0.313,0.36,0.349,0.406,0.455,0.499,0.478,0.554,0.557,0.632,0.618
237,0.179,0.167,0.294,0.271,0.243,0.299,0.305,0.374,0.467,0.471,0.527,0.533,0.591,0.592,0.678,0.738,0.747,0.005,0.009,0.008,0.017,0.013,0.007,0.015,0.015,0.013,0.013,0.011,0.013,0.01,0.007,0.018,0.013,0.015,0.018,0.015,0.014,0.018,0.015,0.153,0.14,0.203,0.193,0.293,0.3,0.34,0.333,0.381,0.368,0.431,0.482,0.527,0.507,0.585,0.59,0.668,0.652
238,0.185,0.174,0.307,0.282,0.254,0.313,0.319,0.391,0.489,0.494,0.552,0.557,0.621,0.618,0.707,0.771,0.777,0.005,0.009,0.009,0.017,0.013,0.007,0.014,0.014,0.013,0.013,0.011,0.013,0.01,0.007,0.017,0.013,0.015,0.017,0.015,0.014,0.018,0.016,0.161,0.146,0.214,0.204,0.308,0.316,0.359,0.35,0.402,0.387,0.453,0.508,0.557,0.534,0.617,0.621,0.704,0.688
239,0.192,0.182,0.321,0.294,0.265,0.327,0.333,0.408,0.509,0.517,0.578,0.583,0.647,0.644,0.736,0.802,0.809,0.005,0.009,0.01,0.017,0.013,0.008,0.014,0.014,0.012,0.013,0.011,0.013,0.01,0.008,0.018,0.014,0.016,0.018,0.014,0.015,0.017,0.016,0.169,0.154,0.225,0.215,0.324,0.331,0.377,0.367,0.421,0.408,0.476,0.534,0.587,0.559,0.646,0.65,0.738,0.721
240,0.198,0.188,0.332,0.305,0.274,0.34,0.345,0.423,0.529,0.536,0.602,0.605,0.672,0.668,0.764,0.83,0.845,0.005,0.008,0.008,0.017,0.013,0.008,0.014,0.013,0.012,0.013,0.01,0.013,0.008,0.007,0.017,0.012,0.015,0.018,0.014,0.013,0.017,0.016,0.176,0.16,0.235,0.225,0.339,0.347,0.393,0.384,0.44,0.429,0.498,0.559,0.615,0.585,0.675,0.679,0.771,0.755
241,0.203,0.192,0.341,0.314,0.283,0.351,0.356,0.437,0.546,0.554,0.623,0.626,0.696,0.694,0.793,0.859,0.881,0.005,0.007,0.007,0.017,0.012,0.008,0.014,0.014,0.013,0.013,0.01,0.013,0.009,0.007,0.017,0.013,0.015,0.018,0.015,0.013,0.018,0.016,0.184,0.167,0.244,0.234,0.354,0.362,0.409,0.401,0.457,0.446,0.521,0.583,0.641,0.61,0.705,0.708,0.806,0.789
242,0.207,0.196,0.348,0.321,0.29,0.359,0.365,0.447,0.559,0.567,0.64,0.642,0.715,0.712,0.817,0.889,0.905,0.005,0.007,0.008,0.017,0.013,0.008,0.014,0.014,0.012,0.013,0.011,0.013,0.009,0.007,0.017,0.013,0.014,0.018,0.015,0.013,0.018,0.016,0.19,0.172,0.252,0.24,0.365,0.374,0.421,0.415,0.473,0.462,0.539,0.603,0.663,0.631,0.73,0.734,0.837,0.819
