,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
237,0.317,0.277,0.2,0.759,0.489,0.541,0.517,0.294,0.272,0.273,1.014,1.065,0.981,1.36,1.694
238,0.178,0.256,0.183,0.639,0.489,0.541,0.519,0.293,0.274,0.275,0.956,1.006,1.03,1.323,1.68
239,0.258,0.16,0.179,0.337,0.496,0.552,0.526,0.298,0.28,0.279,0.95,1.176,0.859,1.256,1.754
240,0.366,0.147,0.152,0.291,0.506,0.564,0.54,0.303,0.285,0.287,0.87,1.301,0.747,1.203,1.775
241,0.399,0.145,0.161,0.533,0.519,0.582,0.553,0.308,0.288,0.292,0.854,1.39,0.782,1.336,1.902
242,0.32,0.23,0.184,0.697,0.536,0.597,0.569,0.316,0.294,0.297,1.017,1.434,0.843,1.444,1.995
243,0.28,0.173,0.195,0.679,0.549,0.614,0.585,0.323,0.302,0.305,1.032,1.276,0.961,1.471,1.964
244,0.253,0.162,0.197,0.582,0.558,0.632,0.594,0.328,0.308,0.31,1.074,1.217,0.919,1.484,1.967
245,0.263,0.171,0.183,0.737,0.563,0.643,0.6,0.333,0.313,0.313,0.979,1.236,1.054,1.445,1.812
246,0.283,0.181,0.155,0.651,0.569,0.653,0.604,0.336,0.314,0.315,0.995,1.252,1.19,1.493,1.877
247,0.265,0.175,0.147,0.695,0.581,0.661,0.615,0.341,0.318,0.32,1.116,1.372,1.375,1.521,1.925
248,0.311,0.119,0.158,0.657,0.592,0.672,0.631,0.348,0.325,0.327,1.24,1.353,1.374,1.506,1.986
249,0.285,0.111,0.161,0.559,0.6,0.679,0.639,0.352,0.328,0.332,1.257,1.241,1.22,1.5,1.969
250,0.281,0.09,0.163,0.54,0.6,0.681,0.638,0.353,0.33,0.334,1.325,1.185,1.214,1.456,1.856
251,0.392,0.11,0.178,0.399,0.599,0.68,0.637,0.352,0.329,0.334,1.314,1.176,1.262,1.424,1.817
252,0.502,0.14,0.203,0.575,0.608,0.683,0.644,0.353,0.331,0.336,1.298,1.335,1.319,1.369,1.726
253,0.545,0.176,0.26,0.675,0.621,0.701,0.656,0.361,0.342,0.341,1.367,1.423,1.387,1.312,1.648
254,0.603,0.163,0.3,0.671,0.626,0.71,0.664,0.367,0.347,0.345,1.296,1.412,1.433,1.225,1.511
255,0.58,0.136,0.338,0.658,0.614,0.703,0.652,0.364,0.342,0.34,1.5,1.424,1.493,1.115,1.338
256,0.624,0.23,0.41,0.63,0.599,0.681,0.633,0.355,0.333,0.332,1.618,1.44,1.498,0.987,1.198
257,0.711,0.319,0.489,0.751,0.592,0.664,0.625,0.35,0.328,0.329,1.662,1.471,1.393,0.851,1.037
258,0.801,0.367,0.609,0.883,0.612,0.688,0.648,0.361,0.34,0.339,1.598,1.424,1.352,0.72,0.868
259,1.051,0.612,0.826,1.089,0.652,0.733,0.696,0.384,0.359,0.36,1.409,1.29,1.185,0.604,0.728
260,1.243,0.884,1.062,1.402,0.684,0.77,0.726,0.399,0.373,0.374,1.227,1.111,0.999,0.5,0.601
261,1.451,1.114,1.264,1.558,0.678,0.763,0.713,0.394,0.368,0.37,1.06,0.957,0.85,0.418,0.503
262,1.67,1.217,1.353,1.598,0.634,0.719,0.666,0.37,0.347,0.348,0.898,0.809,0.724,0.353,0.429
263,1.77,1.287,1.306,1.424,0.585,0.664,0.614,0.341,0.322,0.322,0.773,0.697,0.628,0.302,0.369
264,1.753,1.448,1.186,1.176,0.55,0.617,0.578,0.32,0.302,0.302,0.682,0.615,0.557,0.267,0.325
265,1.568,1.497,0.992,0.941,0.539,0.598,0.565,0.312,0.294,0.296,0.623,0.561,0.509,0.244,0.296
266,1.35,1.403,0.799,0.774,0.529,0.587,0.554,0.308,0.289,0.291,0.587,0.523,0.479,0.233,0.277
267,1.189,1.215,0.65,0.633,0.5,0.558,0.523,0.293,0.273,0.277,0.566,0.506,0.467,0.229,0.27
268,1.015,1.063,0.549,0.54,0.449,0.505,0.468,0.264,0.245,0.252,0.56,0.502,0.464,0.229,0.268
269,0.869,0.926,0.475,0.467,0.4,0.449,0.416,0.234,0.22,0.224,0.564,0.507,0.465,0.229,0.27
270,0.799,0.851,0.433,0.429,0.363,0.406,0.379,0.211,0.199,0.204,0.573,0.519,0.474,0.232,0.274
271,0.78,0.826,0.419,0.416,0.32,0.354,0.333,0.187,0.176,0.179,0.585,0.53,0.483,0.238,0.279
272,0.785,0.829,0.422,0.422,0.254,0.277,0.261,0.149,0.139,0.142,0.596,0.54,0.497,0.244,0.283
273,0.798,0.831,0.428,0.427,0.178,0.191,0.181,0.107,0.1,0.101,0.606,0.548,0.51,0.248,0.287
274,0.788,0.821,0.425,0.422,0.129,0.136,0.127,0.078,0.074,0.075,0.616,0.552,0.516,0.248,0.289
275,0.753,0.788,0.408,0.407,0.102,0.108,0.099,0.064,0.06,0.061,0.62,0.56,0.521,0.25,0.294
276,0.704,0.743,0.381,0.383,0.088,0.094,0.083,0.056,0.054,0.055,0.628,0.569,0.523,0.253,0.3
277,0.659,0.702,0.356,0.363,0.077,0.082,0.072,0.049,0.049,0.05,0.637,0.58,0.532,0.256,0.305
278,0.65,0.688,0.349,0.355,0.068,0.07,0.062,0.045,0.044,0.044,0.648,0.59,0.542,0.262,0.311
279,0.678,0.715,0.365,0.369,0.062,0.063,0.055,0.04,0.039,0.041,0.66,0.598,0.555,0.267,0.313
280,0.727,0.763,0.392,0.395,0.057,0.058,0.051,0.038,0.036,0.039,0.664,0.601,0.56,0.269,0.314
281,0.773,0.816,0.417,0.421,0.054,0.055,0.048,0.037,0.034,0.037,0.661,0.597,0.554,0.267,0.31
282,0.777,0.821,0.419,0.424,0.052,0.053,0.046,0.036,0.033,0.035,0.647,0.581,0.538,0.259,0.303
283,0.723,0.763,0.39,0.392,0.051,0.05,0.044,0.035,0.031,0.033,0.62,0.555,0.518,0.249,0.293
284,0.618,0.654,0.335,0.337,0.049,0.047,0.042,0.034,0.03,0.032,0.59,0.531,0.495,0.239,0.281
285,0.498,0.533,0.272,0.276,0.049,0.045,0.041,0.034,0.03,0.033,0.563,0.51,0.475,0.229,0.27
286,0.408,0.443,0.224,0.234,0.047,0.045,0.039,0.032,0.03,0.032,0.542,0.495,0.456,0.221,0.26
287,0.364,0.398,0.2,0.214,0.046,0.044,0.038,0.031,0.028,0.031,0.527,0.481,0.442,0.215,0.252
288,0.377,0.408,0.208,0.219,0.045,0.04,0.036,0.03,0.027,0.03,0.514,0.462,0.429,0.209,0.244
289,0.45,0.486,0.25,0.255,0.043,0.036,0.033,0.028,0.023,0.028,0.495,0.443,0.412,0.201,0.235
290,0.527,0.566,0.291,0.294,0.04,0.036,0.032,0.027,0.021,0.028,0.47,0.422,0.392,0.19,0.224
291,0.526,0.565,0.289,0.294,0.034,0.035,0.03,0.025,0.022,0.027,0.437,0.393,0.364,0.175,0.208
292,0.417,0.452,0.23,0.238,0.032,0.034,0.028,0.024,0.023,0.027,0.395,0.356,0.331,0.158,0.188
293,0.257,0.284,0.145,0.158,0.031,0.03,0.026,0.022,0.022,0.025,0.346,0.312,0.29,0.139,0.165
294,0.133,0.155,0.081,0.099,0.03,0.028,0.024,0.021,0.02,0.024,0.296,0.268,0.246,0.119,0.142
295,0.068,0.087,0.047,0.068,0.028,0.026,0.023,0.02,0.019,0.023,0.247,0.225,0.202,0.099,0.12
296,0.037,0.055,0.031,0.052,0.026,0.022,0.019,0.019,0.017,0.021,0.202,0.183,0.163,0.079,0.098
297,0.023,0.039,0.024,0.044,0.025,0.02,0.016,0.018,0.016,0.019,0.162,0.145,0.13,0.064,0.079
298,0.014,0.032,0.02,0.039,0.025,0.02,0.015,0.018,0.014,0.017,0.128,0.114,0.104,0.051,0.063
299,0.01,0.029,0.018,0.036,0.025,0.019,0.015,0.018,0.015,0.019,0.105,0.093,0.084,0.041,0.053
300,0.008,0.027,0.016,0.035,0.023,0.019,0.016,0.018,0.016,0.02,0.086,0.076,0.069,0.034,0.046
301,0.006,0.023,0.013,0.034,0.022,0.017,0.016,0.016,0.017,0.019,0.069,0.062,0.055,0.028,0.037
302,0.003,0.02,0.012,0.032,0.021,0.015,0.014,0.014,0.017,0.017,0.057,0.05,0.046,0.024,0.032
303,0.003,0.018,0.013,0.032,0.022,0.014,0.012,0.015,0.014,0.015,0.048,0.043,0.038,0.021,0.026
304,0.001,0.017,0.013,0.031,0.022,0.012,0.011,0.015,0.012,0.014,0.042,0.036,0.032,0.018,0.023
305,0.001,0.016,0.013,0.031,0.022,0.012,0.01,0.015,0.011,0.014,0.037,0.031,0.028,0.016,0.021
306,0.001,0.018,0.014,0.031,0.023,0.014,0.011,0.015,0.014,0.016,0.035,0.029,0.025,0.015,0.02
307,0.001,0.019,0.013,0.031,0.023,0.015,0.012,0.014,0.016,0.017,0.034,0.029,0.025,0.014,0.02
308,0.001,0.019,0.013,0.032,0.022,0.015,0.014,0.014,0.017,0.018,0.034,0.029,0.024,0.014,0.02
309,0.002,0.017,0.012,0.03,0.02,0.014,0.014,0.014,0.015,0.016,0.033,0.028,0.025,0.012,0.019
310,0,0.016,0.011,0.028,0.018,0.013,0.012,0.013,0.012,0.014,0.03,0.025,0.026,0.011,0.018
311,-0.003,0.016,0.011,0.027,0.018,0.012,0.01,0.012,0.011,0.012,0.029,0.024,0.025,0.011,0.018
312,-0.003,0.016,0.011,0.028,0.02,0.013,0.01,0.013,0.012,0.012,0.029,0.025,0.025,0.011,0.016
313,-0.004,0.015,0.011,0.029,0.02,0.013,0.01,0.014,0.012,0.013,0.028,0.025,0.024,0.013,0.016
314,-0.002,0.015,0.01,0.03,0.02,0.013,0.01,0.013,0.013,0.016,0.028,0.025,0.025,0.012,0.015
315,-0.001,0.015,0.01,0.028,0.021,0.013,0.009,0.012,0.012,0.014,0.028,0.022,0.024,0.012,0.015
316,-0.001,0.015,0.009,0.025,0.021,0.012,0.01,0.012,0.013,0.013,0.027,0.022,0.022,0.012,0.018
317,0.002,0.017,0.01,0.025,0.022,0.014,0.012,0.014,0.014,0.016,0.029,0.024,0.024,0.013,0.017
318,0.001,0.017,0.01,0.025,0.019,0.014,0.013,0.013,0.013,0.017,0.03,0.026,0.024,0.012,0.017
319,-0.001,0.015,0.009,0.025,0.018,0.014,0.012,0.012,0.011,0.015,0.029,0.025,0.024,0.01,0.016
320,-0.002,0.016,0.01,0.025,0.018,0.014,0.012,0.011,0.01,0.013,0.029,0.023,0.022,0.011,0.016
321,-0.002,0.016,0.01,0.025,0.019,0.012,0.012,0.011,0.01,0.014,0.026,0.023,0.02,0.012,0.017
322,-0.001,0.015,0.011,0.026,0.02,0.012,0.011,0.012,0.011,0.016,0.026,0.024,0.02,0.013,0.017
323,-0.001,0.016,0.01,0.027,0.02,0.013,0.011,0.011,0.013,0.016,0.029,0.025,0.023,0.012,0.017
324,-0.003,0.013,0.008,0.026,0.02,0.013,0.009,0.01,0.012,0.013,0.027,0.022,0.022,0.011,0.016
325,-0.002,0.013,0.009,0.024,0.02,0.015,0.01,0.01,0.01,0.012,0.028,0.022,0.022,0.011,0.014
