,0,1,2,3,4
220,0.345,0.382,0.36,0.607,0.678
221,0.34,0.375,0.352,0.56,0.638
222,0.339,0.373,0.351,0.522,0.596
223,0.341,0.376,0.352,0.492,0.565
224,0.341,0.377,0.356,0.457,0.52
225,0.348,0.384,0.362,0.42,0.478
226,0.357,0.393,0.37,0.383,0.437
227,0.37,0.407,0.384,0.349,0.397
228,0.388,0.428,0.402,0.322,0.366
229,0.408,0.451,0.424,0.305,0.344
230,0.434,0.48,0.452,0.299,0.338
231,0.464,0.513,0.483,0.303,0.342
232,0.496,0.549,0.516,0.314,0.352
233,0.532,0.588,0.554,0.328,0.368
234,0.568,0.626,0.591,0.346,0.388
235,0.604,0.665,0.63,0.367,0.411
236,0.638,0.703,0.665,0.388,0.433
237,0.671,0.742,0.7,0.408,0.456
238,0.704,0.777,0.735,0.427,0.478
239,0.738,0.811,0.771,0.446,0.5
240,0.771,0.845,0.805,0.465,0.52
241,0.804,0.878,0.836,0.48,0.538
242,0.83,0.912,0.864,0.494,0.552
243,0.844,0.93,0.878,0.501,0.561
244,0.847,0.933,0.882,0.504,0.564
245,0.844,0.93,0.88,0.505,0.566
246,0.848,0.937,0.883,0.508,0.571
247,0.854,0.947,0.89,0.513,0.575
248,0.849,0.943,0.885,0.513,0.575
249,0.827,0.92,0.864,0.505,0.565
250,0.79,0.876,0.826,0.487,0.544
251,0.749,0.831,0.782,0.462,0.517
252,0.704,0.783,0.734,0.435,0.487
253,0.651,0.728,0.681,0.405,0.455
254,0.595,0.668,0.624,0.376,0.424
255,0.54,0.608,0.567,0.349,0.393
256,0.49,0.555,0.515,0.325,0.366
257,0.448,0.51,0.47,0.307,0.344
258,0.406,0.463,0.427,0.287,0.322
259,0.363,0.414,0.381,0.264,0.296
260,0.317,0.362,0.332,0.235,0.265
261,0.268,0.307,0.281,0.202,0.228
262,0.221,0.253,0.231,0.168,0.19
263,0.176,0.202,0.184,0.137,0.152
264,0.139,0.159,0.145,0.109,0.119
265,0.111,0.127,0.116,0.087,0.094
266,0.093,0.107,0.096,0.072,0.079
267,0.081,0.093,0.083,0.061,0.068
268,0.075,0.084,0.076,0.054,0.061
269,0.071,0.079,0.071,0.049,0.057
270,0.068,0.075,0.068,0.046,0.052
271,0.066,0.073,0.067,0.043,0.048
272,0.065,0.072,0.066,0.041,0.045
273,0.065,0.072,0.066,0.039,0.044
274,0.066,0.073,0.067,0.039,0.044
275,0.065,0.072,0.066,0.037,0.042
276,0.063,0.071,0.064,0.035,0.04
277,0.062,0.069,0.064,0.034,0.038
278,0.063,0.071,0.065,0.034,0.037
279,0.065,0.073,0.067,0.034,0.039
280,0.067,0.076,0.069,0.036,0.041
281,0.068,0.076,0.069,0.037,0.041
282,0.068,0.076,0.07,0.038,0.042
283,0.066,0.074,0.068,0.037,0.04
284,0.061,0.069,0.063,0.033,0.036
285,0.055,0.063,0.056,0.028,0.031
286,0.051,0.057,0.052,0.025,0.027
287,0.049,0.055,0.049,0.023,0.025
288,0.049,0.054,0.049,0.023,0.025
289,0.05,0.056,0.051,0.024,0.027
290,0.052,0.058,0.053,0.027,0.03
291,0.051,0.057,0.051,0.028,0.03
292,0.044,0.049,0.044,0.024,0.026
293,0.034,0.038,0.033,0.016,0.018
294,0.025,0.028,0.024,0.011,0.011
295,0.019,0.022,0.019,0.009,0.008
296,0.017,0.019,0.016,0.009,0.008
297,0.014,0.016,0.013,0.008,0.007
298,0.011,0.012,0.01,0.006,0.006
299,0.009,0.009,0.007,0.005,0.005
300,0.007,0.008,0.006,0.004,0.005
301,0.006,0.006,0.005,0.004,0.004
