,0,1,2,3,4,5,6,7,8,9,10,11
283,0.058,0.064,0.036,0.034,0.008,0.007,0.007,0.003,0.098,0.052,0.052,0.048
284,0.051,0.056,0.032,0.03,0.008,0.007,0.007,0.003,0.095,0.05,0.05,0.046
285,0.041,0.047,0.027,0.025,0.007,0.007,0.006,0.003,0.092,0.048,0.048,0.045
286,0.035,0.04,0.023,0.021,0.007,0.006,0.006,0.002,0.089,0.046,0.046,0.043
287,0.031,0.035,0.02,0.019,0.007,0.007,0.007,0.004,0.087,0.045,0.044,0.042
288,0.031,0.036,0.02,0.02,0.008,0.008,0.008,0.004,0.086,0.044,0.044,0.041
289,0.036,0.041,0.023,0.022,0.008,0.007,0.007,0.004,0.083,0.043,0.042,0.039
290,0.042,0.048,0.027,0.026,0.008,0.007,0.006,0.003,0.079,0.041,0.041,0.038
291,0.044,0.05,0.029,0.027,0.007,0.006,0.006,0.002,0.075,0.04,0.04,0.037
292,0.036,0.041,0.024,0.023,0.006,0.005,0.005,0.002,0.068,0.036,0.036,0.034
293,0.023,0.028,0.017,0.015,0.004,0.004,0.004,0.001,0.058,0.03,0.031,0.028
294,0.013,0.018,0.012,0.009,0.003,0.003,0.003,-0.001,0.049,0.025,0.025,0.023
295,0.008,0.013,0.01,0.007,0.003,0.002,0.002,-0.001,0.04,0.021,0.022,0.019
296,0.008,0.013,0.01,0.008,0.004,0.003,0.003,-0.001,0.034,0.02,0.019,0.017
297,0.008,0.012,0.01,0.009,0.005,0.003,0.004,0,0.028,0.017,0.017,0.014
298,0.006,0.011,0.008,0.008,0.004,0.003,0.004,0,0.022,0.013,0.013,0.011
299,0.005,0.01,0.008,0.007,0.004,0.004,0.004,0.001,0.018,0.011,0.011,0.009
300,0.004,0.009,0.006,0.006,0.005,0.004,0.004,0.001,0.014,0.008,0.009,0.007
301,0.004,0.009,0.006,0.005,0.005,0.005,0.004,0.002,0.011,0.007,0.008,0.006
302,0.005,0.009,0.007,0.006,0.006,0.005,0.004,0.003,0.01,0.007,0.008,0.005
303,0.004,0.009,0.007,0.006,0.005,0.004,0.003,0.002,0.009,0.007,0.008,0.005
304,0.004,0.008,0.006,0.005,0.005,0.004,0.003,0.002,0.007,0.006,0.006,0.005
305,0.003,0.007,0.005,0.004,0.004,0.003,0.002,0.001,0.005,0.004,0.004,0.003
306,0.003,0.007,0.004,0.003,0.004,0.003,0.002,0,0.003,0.003,0.004,0.002
307,0.003,0.008,0.005,0.005,0.004,0.004,0.003,0.001,0.004,0.004,0.005,0.003
308,0.004,0.009,0.006,0.006,0.004,0.004,0.003,0.001,0.005,0.005,0.006,0.004
309,0.003,0.009,0.006,0.006,0.003,0.003,0.003,0,0.005,0.005,0.006,0.004
310,0.003,0.008,0.005,0.004,0.003,0.004,0.002,-0.001,0.004,0.004,0.004,0.002
311,0.002,0.006,0.004,0.003,0.003,0.003,0.002,-0.002,0.003,0.003,0.002,0.001
312,0.002,0.006,0.005,0.003,0.004,0.004,0.003,0,0.003,0.002,0.003,0.002
313,0.002,0.007,0.006,0.004,0.004,0.003,0.003,0,0.003,0.003,0.004,0.002
314,0.002,0.007,0.006,0.004,0.004,0.003,0.002,0,0.004,0.003,0.004,0.002
315,0.002,0.007,0.005,0.004,0.005,0.003,0.003,0,0.003,0.003,0.003,0.001
316,0.001,0.006,0.003,0.003,0.004,0.003,0.002,-0.001,0.003,0.002,0.002,0
317,0.002,0.006,0.004,0.004,0.005,0.004,0.003,0,0.003,0.003,0.003,0.001
318,0.003,0.007,0.005,0.005,0.005,0.005,0.003,0.001,0.004,0.003,0.003,0.002
319,0.003,0.008,0.005,0.005,0.004,0.004,0.002,0.001,0.004,0.003,0.004,0.003
320,0.001,0.007,0.004,0.004,0.003,0.003,0.002,0.001,0.003,0.003,0.004,0.002
321,0,0.005,0.003,0.002,0.003,0.002,0.001,0,0.002,0.002,0.003,0.001
322,0,0.005,0.003,0.002,0.002,0.002,0.001,-0.001,0.002,0.002,0.003,0
323,0.001,0.005,0.004,0.002,0.001,0.001,0,-0.002,0.002,0.002,0.002,0
324,0,0.004,0.002,0.002,0.001,0.001,0,-0.002,0.001,0.001,0.001,0
325,0,0.004,0.002,0.001,0.001,0.001,-0.001,-0.002,0.001,0.001,0.002,0
326,-0.001,0.005,0.002,0.002,0.002,0.001,-0.001,-0.001,0.001,0.001,0.002,-0.001
327,0,0.006,0.003,0.002,0.002,0.002,0,0,0.002,0.002,0.002,-0.001
328,0,0.006,0.003,0.002,0.002,0.002,0,0,0.001,0.001,0.002,-0.001
329,0,0.005,0.002,0.001,0.003,0.002,0,0,0,0,0,-0.001
330,-0.001,0.004,0,0,0.002,0.001,0,-0.001,-0.002,-0.001,-0.001,-0.001
331,-0.002,0.004,0,-0.001,0.002,0,0,-0.001,-0.001,-0.001,-0.001,-0.002
332,-0.002,0.004,0.001,0,0.002,0.002,0,-0.001,0,0,0,-0.001
333,-0.001,0.005,0.002,0.002,0.003,0.004,0.002,0.001,0.002,0.001,0.002,0
