,0,0,0,1,1,1
336,-0.009,0.008,-0.01,-0.009,-0.01,0.001
337,-0.009,0.006,-0.011,-0.009,-0.01,-0.002
338,-0.008,0.005,-0.011,-0.009,-0.01,-0.003
339,-0.008,0.005,-0.01,-0.01,-0.01,-0.003
340,-0.008,0.005,-0.01,-0.01,-0.011,-0.002
341,-0.008,0.006,-0.009,-0.009,-0.011,0.0
342,-0.007,0.005,-0.009,-0.008,-0.01,0.001
343,-0.007,0.006,-0.009,-0.009,-0.009,0.001
344,-0.007,0.006,-0.01,-0.008,-0.009,0.001
345,-0.007,0.006,-0.01,-0.008,-0.009,0.0
346,-0.007,0.006,-0.009,-0.008,-0.01,0.0
347,-0.007,0.007,-0.009,-0.008,-0.01,0.0
348,-0.007,0.009,-0.008,-0.008,-0.01,0.002
349,-0.006,0.01,-0.007,-0.007,-0.009,0.001
350,-0.005,0.008,-0.006,-0.007,-0.008,-0.001
351,-0.006,0.006,-0.007,-0.007,-0.008,-0.002
352,-0.007,0.006,-0.008,-0.008,-0.009,-0.001
353,-0.008,0.007,-0.009,-0.008,-0.009,-0.001
354,-0.008,0.009,-0.007,-0.007,-0.008,0.001
355,-0.007,0.009,-0.007,-0.008,-0.008,0.001
356,-0.007,0.008,-0.007,-0.009,-0.009,0.002
357,-0.008,0.007,-0.008,-0.009,-0.008,0.003
358,-0.007,0.007,-0.007,-0.008,-0.008,0.002
359,-0.007,0.007,-0.007,-0.007,-0.008,0.001
360,-0.007,0.008,-0.008,-0.008,-0.009,0.0
361,-0.008,0.008,-0.009,-0.009,-0.009,-0.001
362,-0.01,0.005,-0.011,-0.01,-0.011,-0.001
363,-0.011,0.004,-0.012,-0.011,-0.012,-0.002
364,-0.01,0.006,-0.011,-0.01,-0.012,-0.001
365,-0.007,0.008,-0.008,-0.008,-0.009,0.001
366,-0.005,0.009,-0.006,-0.006,-0.008,0.0
367,-0.005,0.008,-0.007,-0.006,-0.008,0.0
368,-0.006,0.007,-0.008,-0.007,-0.009,0.0
369,-0.006,0.006,-0.008,-0.006,-0.008,0.0
370,-0.004,0.007,-0.005,-0.006,-0.007,0.002
371,-0.003,0.009,-0.004,-0.005,-0.006,0.005
372,-0.003,0.011,-0.004,-0.005,-0.005,0.008
373,-0.002,0.01,-0.004,-0.005,-0.005,0.008
374,-0.002,0.01,-0.004,-0.005,-0.004,0.006
375,-0.003,0.008,-0.004,-0.006,-0.005,0.005
376,-0.004,0.009,-0.004,-0.006,-0.006,0.005
377,-0.005,0.008,-0.005,-0.006,-0.006,0.004
378,-0.006,0.007,-0.006,-0.006,-0.007,0.003
379,-0.005,0.008,-0.005,-0.005,-0.006,0.002
380,-0.005,0.009,-0.005,-0.005,-0.006,0.004
381,-0.004,0.011,-0.004,-0.004,-0.005,0.005
382,-0.003,0.012,-0.004,-0.003,-0.005,0.007
383,-0.003,0.012,-0.005,-0.004,-0.006,0.007
384,-0.004,0.01,-0.006,-0.005,-0.007,0.003
385,-0.005,0.009,-0.007,-0.006,-0.007,0.001
386,-0.004,0.01,-0.006,-0.006,-0.006,0.004
387,-0.004,0.01,-0.005,-0.005,-0.006,0.006
388,-0.005,0.008,-0.006,-0.007,-0.007,0.004
389,-0.006,0.007,-0.007,-0.009,-0.008,0.003
390,-0.006,0.008,-0.006,-0.007,-0.007,0.003
391,-0.004,0.011,-0.005,-0.005,-0.006,0.004
392,-0.005,0.009,-0.005,-0.004,-0.007,0.003
393,-0.005,0.006,-0.006,-0.005,-0.007,0.001
394,-0.005,0.004,-0.006,-0.007,-0.008,0.0
395,-0.005,0.005,-0.006,-0.009,-0.007,0.0
396,-0.003,0.009,-0.004,-0.007,-0.005,0.003
397,-0.002,0.01,-0.004,-0.005,-0.004,0.004
398,-0.001,0.012,-0.003,-0.003,-0.003,0.005
399,-0.002,0.01,-0.003,-0.003,-0.003,0.005
400,-0.004,0.008,-0.006,-0.006,-0.007,0.003
401,-0.006,0.006,-0.008,-0.009,-0.008,0.0
402,-0.008,0.005,-0.01,-0.011,-0.01,0.0
403,-0.007,0.007,-0.01,-0.011,-0.01,0.002
404,-0.008,0.006,-0.009,-0.01,-0.009,0.004
405,-0.006,0.008,-0.007,-0.008,-0.008,0.005
406,-0.005,0.009,-0.006,-0.007,-0.007,0.003
407,-0.004,0.009,-0.006,-0.007,-0.007,0.002
408,-0.004,0.008,-0.005,-0.006,-0.006,0.002
