,0,0,0,0,1,1,1,2,2,2,2
190,0.019,0.06,0.078,0.03,0.767,0.785,0.065,1.608,1.263,1.477,1.171
191,-0.008,-0.14,-0.127,-0.083,1.341,1.378,0.554,2.465,1.917,2.213,1.893
192,-0.042,0.009,-0.021,-0.085,1.926,1.966,1.363,2.653,2.115,2.803,2.482
193,-0.118,0.59,0.531,0.354,2.475,2.486,2.195,2.086,1.741,2.802,2.83
194,0.176,1.396,1.324,1.086,2.809,2.851,2.755,1.437,1.294,2.38,2.623
195,0.941,2.302,2.242,2.009,2.499,2.538,2.662,0.826,0.796,1.589,1.937
196,1.973,2.608,2.589,2.581,1.823,1.821,2.117,0.575,0.58,0.813,1.102
197,2.311,2.269,2.23,2.274,1.035,0.994,1.32,0.422,0.468,0.469,0.513
198,1.83,1.569,1.527,1.61,0.493,0.431,0.609,0.304,0.333,0.366,0.404
199,1.064,0.817,0.795,0.844,0.398,0.355,0.409,0.217,0.247,0.264,0.305
200,0.531,0.486,0.488,0.456,0.307,0.279,0.337,0.168,0.199,0.205,0.238
201,0.503,0.453,0.47,0.455,0.259,0.234,0.278,0.138,0.177,0.174,0.198
202,0.446,0.397,0.416,0.396,0.231,0.207,0.247,0.121,0.167,0.154,0.171
203,0.424,0.375,0.385,0.365,0.211,0.196,0.231,0.113,0.157,0.141,0.155
204,0.409,0.371,0.378,0.356,0.203,0.191,0.223,0.108,0.148,0.135,0.149
205,0.403,0.371,0.378,0.358,0.202,0.19,0.224,0.109,0.151,0.133,0.147
206,0.403,0.371,0.377,0.356,0.201,0.187,0.223,0.107,0.154,0.131,0.146
207,0.41,0.375,0.382,0.356,0.202,0.187,0.225,0.108,0.158,0.133,0.146
208,0.417,0.381,0.388,0.362,0.206,0.192,0.228,0.108,0.16,0.133,0.148
209,0.423,0.387,0.395,0.371,0.211,0.195,0.229,0.108,0.161,0.135,0.149
210,0.419,0.389,0.396,0.374,0.212,0.196,0.229,0.104,0.154,0.133,0.147
211,0.413,0.383,0.394,0.37,0.205,0.191,0.225,0.099,0.149,0.126,0.141
212,0.414,0.38,0.396,0.368,0.203,0.19,0.224,0.099,0.153,0.128,0.142
213,0.421,0.382,0.402,0.37,0.206,0.193,0.225,0.101,0.155,0.128,0.144
214,0.427,0.39,0.404,0.379,0.21,0.197,0.227,0.105,0.157,0.132,0.146
215,0.429,0.397,0.406,0.382,0.213,0.199,0.232,0.107,0.154,0.132,0.146
216,0.43,0.399,0.406,0.384,0.213,0.198,0.232,0.108,0.153,0.131,0.144
217,0.431,0.397,0.408,0.383,0.213,0.199,0.231,0.107,0.157,0.132,0.144
218,0.427,0.391,0.407,0.375,0.21,0.198,0.228,0.103,0.156,0.13,0.142
219,0.401,0.368,0.383,0.354,0.198,0.187,0.215,0.099,0.152,0.123,0.133
220,0.359,0.333,0.344,0.32,0.181,0.169,0.197,0.09,0.146,0.112,0.122
221,0.316,0.296,0.303,0.283,0.162,0.15,0.175,0.081,0.139,0.101,0.11
222,0.281,0.262,0.269,0.252,0.145,0.134,0.156,0.072,0.131,0.089,0.1
223,0.256,0.237,0.244,0.228,0.131,0.123,0.142,0.067,0.124,0.082,0.091
224,0.223,0.205,0.211,0.199,0.113,0.107,0.123,0.06,0.115,0.073,0.081
225,0.186,0.171,0.176,0.166,0.095,0.089,0.103,0.05,0.106,0.061,0.069
226,0.15,0.138,0.142,0.133,0.076,0.07,0.083,0.04,0.097,0.049,0.055
227,0.113,0.104,0.107,0.101,0.058,0.052,0.063,0.03,0.086,0.036,0.042
228,0.082,0.075,0.078,0.074,0.043,0.038,0.046,0.021,0.079,0.028,0.031
229,0.059,0.054,0.056,0.053,0.032,0.027,0.033,0.016,0.075,0.022,0.024
230,0.043,0.039,0.04,0.038,0.025,0.02,0.025,0.013,0.073,0.018,0.02
231,0.034,0.031,0.031,0.03,0.021,0.017,0.021,0.012,0.073,0.016,0.017
232,0.029,0.026,0.026,0.024,0.018,0.015,0.018,0.012,0.072,0.014,0.015
233,0.025,0.022,0.021,0.02,0.015,0.013,0.016,0.01,0.07,0.012,0.013
234,0.022,0.019,0.019,0.017,0.014,0.011,0.015,0.01,0.069,0.012,0.012
235,0.02,0.017,0.017,0.015,0.012,0.01,0.014,0.008,0.069,0.011,0.012
236,0.019,0.016,0.016,0.015,0.011,0.009,0.013,0.007,0.068,0.01,0.011
237,0.018,0.016,0.016,0.015,0.011,0.007,0.013,0.007,0.069,0.009,0.01
238,0.018,0.016,0.016,0.016,0.012,0.008,0.013,0.008,0.069,0.009,0.01
239,0.018,0.016,0.016,0.015,0.011,0.008,0.012,0.008,0.068,0.009,0.01
240,0.018,0.016,0.016,0.014,0.011,0.009,0.012,0.008,0.067,0.008,0.009
241,0.018,0.015,0.016,0.015,0.011,0.009,0.012,0.007,0.067,0.008,0.009
242,0.019,0.016,0.017,0.016,0.012,0.009,0.013,0.008,0.069,0.01,0.01
243,0.02,0.018,0.019,0.018,0.014,0.01,0.014,0.009,0.072,0.012,0.012
244,0.021,0.019,0.019,0.018,0.014,0.01,0.015,0.009,0.073,0.011,0.012
245,0.022,0.019,0.02,0.018,0.014,0.011,0.015,0.01,0.073,0.011,0.012
246,0.021,0.018,0.019,0.017,0.014,0.011,0.014,0.009,0.071,0.01,0.011
247,0.021,0.018,0.019,0.018,0.014,0.011,0.014,0.01,0.072,0.011,0.012
248,0.021,0.02,0.02,0.02,0.016,0.012,0.015,0.011,0.074,0.013,0.014
249,0.022,0.02,0.021,0.02,0.017,0.013,0.017,0.012,0.076,0.014,0.014
250,0.023,0.022,0.022,0.02,0.017,0.014,0.017,0.012,0.075,0.015,0.014
251,0.022,0.02,0.02,0.018,0.015,0.013,0.016,0.011,0.071,0.013,0.013
252,0.021,0.02,0.02,0.018,0.014,0.012,0.015,0.01,0.071,0.011,0.013
253,0.022,0.02,0.02,0.018,0.015,0.012,0.016,0.01,0.071,0.011,0.013
254,0.023,0.02,0.021,0.019,0.015,0.012,0.016,0.01,0.071,0.011,0.013
255,0.023,0.022,0.022,0.02,0.016,0.013,0.016,0.011,0.071,0.012,0.013
256,0.022,0.022,0.022,0.02,0.015,0.013,0.016,0.012,0.071,0.013,0.013
257,0.021,0.021,0.021,0.019,0.015,0.013,0.015,0.011,0.071,0.012,0.012
258,0.021,0.02,0.021,0.019,0.015,0.013,0.016,0.011,0.071,0.012,0.012
259,0.021,0.02,0.02,0.019,0.015,0.012,0.016,0.01,0.07,0.011,0.012
260,0.021,0.019,0.02,0.019,0.015,0.011,0.015,0.01,0.071,0.011,0.012
261,0.021,0.02,0.021,0.019,0.015,0.012,0.015,0.01,0.072,0.011,0.013
262,0.02,0.019,0.02,0.019,0.014,0.012,0.015,0.01,0.071,0.012,0.013
263,0.019,0.019,0.019,0.017,0.013,0.012,0.014,0.01,0.071,0.011,0.012
264,0.019,0.017,0.018,0.016,0.013,0.011,0.014,0.009,0.069,0.01,0.011
265,0.018,0.017,0.018,0.015,0.012,0.01,0.013,0.008,0.068,0.009,0.01
266,0.018,0.017,0.017,0.016,0.012,0.01,0.013,0.008,0.067,0.009,0.009
267,0.017,0.017,0.017,0.016,0.012,0.01,0.013,0.008,0.067,0.009,0.01
268,0.017,0.016,0.015,0.015,0.013,0.009,0.013,0.008,0.067,0.009,0.01
269,0.017,0.016,0.015,0.015,0.013,0.01,0.014,0.009,0.067,0.01,0.011
270,0.015,0.015,0.015,0.014,0.012,0.009,0.013,0.009,0.065,0.009,0.01
271,0.014,0.014,0.013,0.013,0.01,0.008,0.012,0.008,0.064,0.009,0.009
272,0.013,0.011,0.011,0.012,0.009,0.006,0.011,0.007,0.064,0.007,0.008
273,0.011,0.01,0.01,0.01,0.009,0.006,0.01,0.006,0.064,0.007,0.007
274,0.011,0.011,0.01,0.011,0.009,0.006,0.011,0.007,0.066,0.007,0.007
